dataset_id,source_db,accession,dataset_title,url,linked_accessions,linked_publications,publication_title,doi,pmid,pmcid,paper_verified,country,study_design,n_total,n_asd,n_control,n_other,body_site,body_site_raw,assay_type,assay_type_raw,target_region,sequencing_platform,library_layout,intervention_flag,intervention_type,longitudinal_flag,timepoints,biosample_metadata_available,raw_data_public,release_class,notes,release_version,release_status,record_status,publication_link_status,candidate_publication_title,candidate_doi,candidate_pmid,candidate_pmcid,participant_count_scope,article_count_status,article_n_total,article_n_asd,article_n_control,article_n_other,recruited_count_status,recruited_n_total,recruited_n_asd,recruited_n_control,recruited_n_other,public_count_status,public_n_total,public_n_asd,public_n_control,public_n_other,n_mothers,n_siblings,n_donors,n_other_diagnosis,all_human_hosts_n,public_biosample_count,public_run_count,raw_data_granularity,participant_resolved_raw_data,participant_resolution_source,downloadable_asd_control_pair,repeated_sampling,repeated_assay,specimen_type,anatomical_site,assay_layers,archive_library_strategy,archive_metadata_conflict,canonical_dataset_id,dataset_role,participant_overlap,count_as_independent_dataset,count_in_unique_participant_total,unique_asd_contribution,unique_control_contribution,unique_asd_control_contribution,participant_count_basis,mapping_status,correction_issue_ids,curator_evidence
SCR00044,BioProject,PRJNA1046003,Microbiome AI decision-making: Autism Spectrum Disorder in children from Bosnia and Herzegovina,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1046003,SRP474617,Basic-Cicak et al. 2024,Utilizing Artificial Intelligence for Microbiome Decision-Making: Autism Spectrum Disorder in Children from Bosnia and Herzegovina,10.3390/diagnostics14222536,39594202,PMC11592508,yes,Bosnia and Herzegovina,case_control,60,44,16,,stool,,16S,,,Illumina MiSeq,,no,,no,,yes,yes,standard,"Primary cohort includes 44 ASD and 16 neurotypical children from Bosnia and Herzegovina; the linked paper also used an external Italian validation dataset, but n_asd/n_control here are restricted to the PRJNA1046003 cohort only.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,60,44,16,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,16S,,,SCR00044,primary,no_overlap_detected_after_biosample_audit,yes,yes,44,16,60,ena_aliases_44_asd_16_neurotypical,confirmed_from_article_and_complete_repository,,"The article reports 44 ASD and 16 neurotypical children. ENA exposes 60 unique BioSamples and paired MiSeq runs with 44 ASD-A and 16 NT aliases, matching the analyzed cohort."
SCR00045,BioProject,PRJNA1046699,Homo sapiens Raw sequence reads,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1046699,,Wang et al. 2025,Gut microbial GABA imbalance emerges as a metabolic signature in mild autism spectrum disorder linked to overrepresented Escherichia,10.1016/j.xcrm.2024.101919,39809266,PMC11866488,yes,China,case_control,105,50,55,,stool,,16S,,,Illumina HiSeq 2500,,no,,no,,yes,yes,standard,"PRJNA1046699 corresponds to the 16S screening-cohort subset described on the BioProject page as 50 ASD versus 55 TD fecal samples from Shanxi, China. Sample-level SRA XML confirms A-alias samples are ASD and B-alias samples are TD, while SRA library_strategy is tagged as WGS despite experiment titles and BioProject abstract explicitly describing 16S rRNA sequencing.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,105,50,55,,,,,,,,,partial_public_subset,partial,biosample_or_run_alias,no,no,no,stool,stool,16S,,,SCR00045,primary_public_subset,article_screening_cohort_subset,yes,yes,50,55,105,public_16s_subset_50_asd_55_control,confirmed_public_subset_from_primary_metadata,,"PRJNA1046699 exposes the 50 ASD/55 TD 16S subset of the larger screening cohort. The article contains additional participants and omics layers, but they are not attributed to this accession row."
SCR00046,BioProject,PRJNA1047541,Gut microbiota of children with ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1047541,SRP475852,Li et al. 2024,Effects and microbiota changes following oral lyophilized fecal microbiota transplantation in children with autism spectrum disorder,10.3389/fped.2024.1369823,38783921,PMC11112010,yes,China,intervention,68,38,30,,stool,,16S,,,Illumina MiSeq,,yes,oral lyophilized fecal microbiota transplantation,yes,weeks 0; 12; 20,yes,yes,standard,"The primary article enrolled 38 ASD participants and 30 healthy controls in Shanghai, with repeated ASD stool sampling at weeks 0, 12, and 20 after oral lyophilized FMT. The article also generated fungal ITS data, but the public accession metadata currently expose a 16S amplicon subset with aliases A1_16s-A10_16s on Illumina MiSeq, so assay_type is normalized here to 16S. | Exclude this row from counts of downloadable paired ASD/control datasets until a companion control accession is verified.",v1.1-rc1,release_candidate,included_partial_public,verified,,,,,public_participant_resolved_records_only,verified,68,38,30,,not_curated,,,,,verified_group_counts,10,10,0,,,,,,,10,10,partial_public_subset,partial,biosample_or_run_alias,no,no,no,stool,stool,16S,,,SCR00046,primary_public_subset,article_cohort_public_asd_only_subset,yes,partial,10,0,10,ena_10_asd_biosamples_no_public_controls,confirmed_public_asd_only_subset,RC006,"The article reports 38 ASD and 30 controls, but the current archive contains only ten participant-resolved A1-A10 ASD BioSamples and no control BioSamples."
SCR00048,BioProject,PRJNA1057995,Analysis of the gut virome in children with autism,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1057995,,Qu et al. 2023,Children with autism show differences in the gut DNA virome compared to non-autistic children: a case control study,10.1186/s12887-023-03981-8,37060094,PMC10105470,yes,China,case_control,23,11,12,,stool,,metagenome,,,Illumina NovaSeq 6000,,no,,no,,yes,no,standard,"The study recruited 13 two-child Han Chinese families and collected 26 stool specimens, but 3 samples failed DNA-band QC; the final analyzed virome cohort comprised 11 ASD children and 12 healthy sibling controls. Controls are siblings rather than unrelated neurotypical children. | Do not classify this row as a downloadable public raw-sequence dataset unless a verified companion archive is identified.",v1.1-rc1,release_candidate,metadata_only,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,not_available,,,,,,,,,,,,metadata_only,no,none,no,no,no,stool,stool,metagenome,,,SCR00048,bioproject_metadata_only,not_assessable_without_public_samples,uncertain,no,0,0,0,no_public_sra_or_biosample_records,frozen_raw_data_public_flag_requires_correction,RC013,"NCBI currently returns zero SRA records and zero BioSample records for PRJNA1057995, and ENA also returns zero runs. The BioProject registration exists, but participant-level sequence data are not currently retrievable from the represented accession."
SCR00050,BioProject,PRJNA1077343,Homo sapiens Raw sequence reads,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1077343,SRP490155,,,,,,no,Saudi Arabia,case_control,23,12,11,,stool,stool,16S,16S rRNA gene sequencing,,Illumina MiSeq,paired,no,,no,,yes,yes,standard,"No PubMed link or linked publication is present on the public BioProject PRJNA1077343 page or in bioproject-to-pubmed linkage, so publication fields were intentionally left blank. This row is therefore treated as a repository-only case-control dataset rather than a paper-verified publication row. Direct BioProject and SRA metadata support a coherent accession-level profile: 12 ASD and 11 control stool samples (n_total = 23), 16S rRNA gene sequencing, paired-end layout, and Illumina MiSeq platform. A candidate Saudi Arabia paper identified during QC (PMID 39328398; PMCID PMC11425773; doi 10.3892/etm.2024.12719) was not adopted because it reports only 4 ASD and 4 healthy sibling controls analyzed by whole-genome shotgun metagenomics and does not directly cite PRJNA1077343 in the verified source pages. The row was therefore retained on repository evidence alone, without forcing an unsupported publication link. | Retain as a repository-backed dataset without a linked publication.",v1.1-rc1,release_candidate,included,not_linked,,,,,public_repository_participant_records,not_applicable,,,,,not_curated,,,,,verified_group_counts,23,12,11,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,16S,,,SCR00050,primary,no_overlap_detected_after_biosample_audit,yes,yes,12,11,23,ena_aliases_12_asd_11_control,confirmed_from_repository_biosample_metadata,,"ENA exposes 23 unique paired MiSeq records with 12 ASD and 11 Control aliases. No PMID, DOI, exact BioSample overlap, or linked atlas accession was found."
SCR00054,BioProject,PRJNA1088255,Mapping the Geographical Distribution of the Mucosa-Associated Gut Microbiome in GI-Symptomatic Children with Autism,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1088255,SRP495359,Reeves et al. 2024,Mapping the geographical distribution of the mucosa-associated gut microbiome in GI-symptomatic children with autism spectrum disorder,10.1152/ajpgi.00101.2024,38887795,PMC11637567,yes,United States,case_control,18,9,9,,gut,,16S,,,NextSeq 1000,,no,,no,,yes,yes,standard,"BioProject and article describe mucosa-associated GI biopsies from antrum, duodenum, ileum, ascending colon, and rectum. Participant counts are derived from repository metadata: 18 unique subject IDs with 5 sites each, including 9 TX subjects annotated with host_disease autistic disorder and 9 EVV subjects without autistic-disease annotation, consistent with article wording that ASD children were compared with age-matched typically developing children. | Count 18 participants once; display 90 regional biopsy samples and their anatomical sites separately.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,verified,18,9,9,,not_curated,,,,,verified_group_counts,18,9,9,,,,,,,90,90,participant_resolved_with_multisite_samples,yes,biosample,yes,yes,no,mucosal_biopsy,antrum; distal_duodenum; terminal_ileum; right_colon; rectum,16S,,,SCR00054,primary,within_accession_five_gi_sites_per_participant,yes,yes,9,9,18,article_18_participants_90_regional_biopsies,confirmed_participant_level_multisite_count,RC025,The study contains nine ASD and nine control children. ENA exposes 90 paired NextSeq 1000 records because five gastrointestinal mucosal locations were sampled for each of the 18 participants.
SCR00055,BioProject,PRJNA1090096,ASD and Microbiota,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1090096,SRP496690,Gerges et al. 2024,Turicibacter and Catenibacterium as potential biomarkers in autism spectrum disorders,10.1038/s41598-024-73700-5,39369020,PMC11455930,yes,Lebanon,case_control,69,23,23,23,stool,,16S,,,Illumina MiSeq,,no,,no,,yes,yes,standard,"The article includes 3 human groups: 23 ASD subjects, 23 unaffected siblings, and 23 unrelated healthy controls. n_control is assigned to the unrelated control arm and n_other to the sibling arm. Repository metadata and article both indicate stool 16S sequencing, although SRA library_strategy is mislabeled as RNA-Seq. | Keep siblings in n_other. The archive library_strategy=RNA-Seq conflicts with the article's DNA-based 16S amplicon method.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,69,23,23,23,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,16S,RNA-Seq,ENA library_strategy conflicts with article 16S method,SCR00055,primary,unaffected_siblings_are_distinct_other_group,yes,yes,23,23,46,article_and_ena_23_asd_23_control_23_sibling,confirmed_from_article_and_complete_repository,RC026,"The article and ENA aliases concordantly identify 23 ASD cases, 23 unaffected siblings, and 23 unrelated controls. The archive exposes 69 participant-resolved paired records."
SCR00059,BioProject,PRJNA1103839,Gut microbiota Autism espectrum disorder and neurotypical children,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1103839,SRP503609,De Sales-Millán et al. 2024,Comprehensive Analysis of Gut Microbiota Composition and Functional Metabolism in Children with Autism Spectrum Disorder and Neurotypical Children: Implications for Sex-Based Differences and Metabolic Dysregulation,10.3390/ijms25126701,38928411,PMC11203636,yes,Mexico,case_control,61,30,31,,stool,,16S,,,Illumina MiSeq,,no,,no,,yes,yes,standard,"Article and repository are concordant on cohort size and stool 16S design. PRJNA1103839 contains 30 TEA/ASD samples and 31 Control/NT samples from Mexico City. BioProject-to-PubMed elink is empty, but the article data-availability section explicitly cites PRJNA1103839.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,61,30,31,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,16S,,,SCR00059,primary,no_overlap_detected_after_biosample_audit,yes,yes,30,31,61,ena_aliases_30_asd_31_control,confirmed_from_article_and_complete_repository,,"ENA exposes 61 unique paired MiSeq BioSamples with 30 TEA/ASD and 31 Control aliases, matching the primary article."
SCR00062,BioProject,PRJNA1121380,Colombian Children gut microbiota,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1121380,SRP512468,Bauer Estrada et al. 2025,Synbiotics of encapsulated Limosilactobacillus fermentum K73 promotes in vitro favorable gut microbiota shifts and enhances short-chain fatty acid production in fecal samples of children with autism spectrum disorder,10.1016/j.foodres.2025.116227,40253179,,yes,Colombia,case_control,24,6,18,,stool,,16S,,,Illumina NovaSeq 6000,,no,,no,,yes,yes,standard,"Accession-level sample inventory contains 6 ASD samples (A01-A06) and 18 neurotypical controls (TD01-TD18) from Bogota, Colombia. BioProject explicitly describes an ASD-versus-neurotypical comparison. A linked preprint using PRJNA1121380 reports 7 ASD and 18 NT donors, and the Food Research International article describes a broader donor pool with selected subsets for in vitro fermentation; therefore participant counts here are taken from the public accession rather than from the downstream articles.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,24,6,18,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,16S,,,SCR00062,primary,no_overlap_detected_after_biosample_audit,yes,yes,6,18,24,ena_aliases_6_asd_18_td,confirmed_from_article_and_complete_repository,,"The linked project exposes 24 unique paired NovaSeq records: six A-series ASD and 18 TD records, matching the study groups."
SCR00066,BioProject,PRJNA1141738,Metagenomics of fecal microbiota in children with ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1141738,SRP523008,Shao et al. 2024,Gut microbial 'TNFα-sphingolipids-steroid hormones' axis in children with autism spectrum disorder: an insight from meta-omics analysis,10.1186/s12967-024-05973-3,39741321,PMC11687191,yes,China,case_control,52,26,26,,stool,,metagenome,,,Illumina HiSeq 4000,,no,,no,,yes,yes,standard,"Article and repository are concordant on cohort size and stool metagenome design. J Transl Med reports 26 ASD and 26 age- and sex-matched neurotypical controls recruited from Lishui Second People's Hospital, Zhejiang, China. SRA study SRP523008 / PRJNA1141738 contains A.1-A.26 and B.1-B.26 with LibrarySource=METAGENOMIC on Illumina HiSeq 4000. | Use the article method to classify this as metagenome; ENA labels library_strategy as OTHER.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,52,26,26,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,metagenome,OTHER,ENA library_strategy conflicts with article shotgun metagenome method,SCR00066,primary,no_overlap_detected_after_biosample_audit,yes,yes,26,26,52,article_and_ena_26_asd_26_control,confirmed_from_article_and_complete_repository,RC027,"The article reports whole-genome metagenomic sequencing of 26 ASD and 26 matched controls. ENA exposes 52 unique paired HiSeq 4000 records, matching the cohort."
SCR00071,BioProject,PRJNA1207206,Gut microbiota diversity and composition in children with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1207206,SRP555640,Zeng et al. 2025,Gut microbiota diversity and composition in children with autism spectrum disorder: associations with symptom severity,10.7717/peerj.19528,40492208,PMC12147763,yes,China,case_control,46,30,16,,stool,,multi_amplicon,,,Illumina MiSeq,,no,,no,,yes,yes,standard,"Article and accession both describe a stool cohort from Putian, China. PRJNA1207206 / SRP555640 includes 92 runs for 46 participants because each subject has both 16S and ITS amplicon data; unique RunInfo subject IDs resolve to 16 H_* neurotypical controls and 30 C_* ASD children. Sample titles show healthy vs ASD severity labels, so n_asd/n_control are participant counts, not run counts. | Count 46 participants once and expose both amplicon layers.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,verified,46,30,16,,not_curated,,,,,verified_group_counts,46,30,16,,,,,,,92,92,multi_assay_participant_resolved,yes,biosample,yes,no,yes,stool,stool,16S; ITS,,,SCR00071,primary_multi_amplicon,within_accession_16s_and_its_per_participant,yes,yes,30,16,46,article_46_participants_92_dual_amplicon_records,confirmed_participant_level_multiassay_count,RC028,The article analyzes 30 ASD and 16 neurotypical children. ENA contains 92 paired MiSeq records because bacterial 16S and fungal ITS libraries were generated for the same 46 fecal specimens.
SCR00072,BioProject,PRJNA1222609,Comprehensive analysis of gut microbiota and fecal metabolites in patients with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1222609,SRP563365,Zheng et al. 2025,Comprehensive analysis of gut microbiota and fecal metabolites in patients with autism spectrum disorder,10.3389/fmicb.2025.1557174,40351314,PMC12062028,yes,China,case_control,52,34,18,,stool,fecal samples,16S,full-length 16S rRNA sequencing,full-length 16S,PacBio Sequel,single,no,,no,,yes,yes,standard,"Primary article reports 34 ASD and 18 healthy controls recruited at the Fifth Affiliated Hospital of Zhengzhou University, Zhengzhou, China, with fresh fecal samples and long-read 16S plus fecal metabolomics. A 2026 Frontiers correction (doi 10.3389/fmicb.2026.1812620; PMID 42022126; PMCID PMC13096826) explicitly states that Nanopore MinION was mistakenly reported in the original paper and corrects the sequencing platform to PacBio Sequel II. Public SRA accession PRJNA1222609 exposes 52 amplicon runs with PACBIO_SMRT/Sequel labels, single-end layout, and .ccs files, which is consistent with the corrected article at the platform-family level. sequencing_platform was therefore retained as the repository-normalized PacBio Sequel value and library_layout was kept as single from SRA metadata.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,52,34,18,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,16S,,,SCR00072,primary,no_overlap_detected_after_biosample_audit,yes,yes,34,18,52,article_and_ena_34_asd_18_control,confirmed_from_article_and_complete_repository,,The article and archive concordantly identify 34 ASD and 18 healthy controls. ENA exposes 52 unique single-layout PacBio Sequel long-read 16S records.
SCR00077,BioProject,PRJNA1273336,Gut Microbiota Characteristics and the Efficacy of Fecal Microbiota Transplantation in Children with Autism Spectrum Disorder in Central China: A Cross-sectional and Prospective Combined Study,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1273336,,Wu et al. 2025,Gut microbiota characteristics and therapeutic effects of fecal microbiota transplantation in children with autism spectrum disorder in central China: a combined cross-sectional and prospective study,10.3389/fped.2025.1648471,40963960,PMC12439472,yes,China,intervention,99,48,51,,stool,,16S,,,Illumina MiSeq,,yes,fecal microbiota transplantation,yes,pre-FMT; 3-month post-FMT,yes,yes,standard,"The linked article combines a baseline cross-sectional ASD vs HC comparison with a prospective FMT arm. Participant counts were recorded from the baseline cohort in the article and study abstract: 48 ASD and 51 healthy controls, with 25 ASD participants entering FMT. Accession PRJNA1273336 contains 123 amplicon samples because it includes baseline HC and repeated ASD fecal samples (pre-FMT and 3-month post-FMT) under the same study.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,99,48,51,,,,,,,,,participant_resolved,yes,biosample,yes,yes,no,stool,stool,16S,,,SCR00077,primary,no_overlap_detected,yes,yes,48,51,99,baseline_participants_not_fmt_timepoints,verified_participant_level_longitudinal_count,,The baseline cohort is 48 ASD and 51 controls; 25 of the ASD participants entered the prospective FMT arm and were sampled again.
SCR00081,BioProject,PRJNA1277165,Gut Microbiota and Urine Metabolomics Signature in Autism Spectrum Disorder children from Southern China,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1277165,SRP592406,Huang et al. 2025,Gut microbiota and urine metabolomics signature in autism spectrum disorder children from Southern China,10.1186/s12887-025-05922-z,40797237,PMC12341299,yes,China,case_control,88,58,30,,stool,,16S,,,Illumina NovaSeq 6000,,no,,no,,yes,yes,standard,"Primary article and repository are concordant on cohort size: 58 ASD children and 30 healthy controls from Guangxi/Nanning, China. The article states fecal and urine samples were collected; only the gut microbiota 16S arm is represented in this extraction row. Repository sample aliases ASD01-ASD58 and CON01-CON30 match the article counts exactly.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,88,58,30,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,16S,,,SCR00081,primary,no_overlap_detected_after_biosample_audit,yes,yes,58,30,88,article_and_ena_58_asd_30_control,confirmed_from_article_and_complete_repository,,The article reports 58 ASD and 30 controls; ENA exposes exactly 88 unique NovaSeq BioSamples and runs with 58 ASD and 30 CON aliases.
SCR00082,BioProject,PRJNA1280289,Gut Microbiota Composition and Phylogenetic Analysis in Autism Spectrum Disorder: A Comparative Study,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1280289,SRP593577,Xiang et al. 2025,Gut microbiota composition and phylogenetic analysis in autism spectrum disorder: a comparative study,10.3389/fpsyt.2025.1609638,40666436,PMC12259671,yes,China,case_control,71,38,33,,stool,,16S,,,Illumina MiSeq,paired,no,,no,,yes,yes,standard,"Primary article and PubMed abstract consistently report 38 ASD children and 33 age-matched Control fecal samples analyzed by 16S rRNA sequencing on Illumina MiSeq (V3-V4 region). Public SRA accession PRJNA1280289 contains 76 paired-end amplicon libraries labeled A1-A78 (missing A10 and A34) without explicit ASD/control annotation; however, the article methods state that negative control, mock-community runs, and technical replicates were also sequenced, which plausibly explains extra non-participant libraries. Participant counts were therefore retained from the linked primary article, while library_layout and platform were recorded from repository metadata. | Count the explicitly analyzed 71-person article cohort once. Do not assign diagnostic labels to all 76 archive records without a crosswalk.",v1.1-rc1,release_candidate,included,verified,,,,,article_analyzed_cohort,verified,71,38,33,,not_curated,,,,,verified_total_only,76,,,,,,,,,76,76,participant_resolved_group_crosswalk_incomplete,partial,article_and_unmapped_run_aliases,unknown,no,no,stool,stool,16S,,,SCR00082,primary,within_accession_five_additional_records_unassigned,yes,yes,38,33,71,supplement_38_asd_33_control,confirmed_article_cohort_archive_crosswalk_incomplete,RC029,"The article supplement contains 71 unique clinical rows: 38 ASD and 33 Control identifiers. PRJNA1280289 exposes 76 MiSeq records named A1-A78 (A10 and A34 absent), with no public mapping to the clinical identifiers; five additional records therefore remain unassigned."
SCR00086,BioProject,PRJNA1307773,Metagenomic data on adolescents with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1307773,,,,,,,no,China,case_control,40,21,19,,gut,,metagenome,,,,,no,,no,,no,no,standard,"Public BioProject metadata explicitly states 21 adolescents with ASD and 19 age- and gender-matched healthy controls and describes the study as metagenomic data intended to decipher gut microbial dysbiosis and dysfunctions in adolescents with ASD. BioProject XML and Entrez summary confirm a metagenome / whole-capture project, while current NCBI linkouts expose no linked publication, no PubMed record, no BioSample list, no public SRA runs, and no retrievable run-level metadata. country was recorded as China by inference from the submitter institution (Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, China), not from sample-level geographic metadata. sequencing_platform and library_layout remain blank because no public sequence-level record is exposed. This row is therefore treated as a reviewed metadata-only human ASD/control repository record, not a paper-verified sequencing row. | Retain only as a tracked metadata record; exclude it from downloadable-dataset and public-participant totals.",v1.1-rc1,release_candidate,metadata_only,not_linked,,,,,primary_asd_control_groups_only,not_applicable,,,,,not_curated,,,,,not_available,,,,,,,,,,,,metadata_only,no,none,no,no,no,gastrointestinal_sample_unspecified,gut,metagenome,,,SCR00086,bioproject_metadata_only,not_assessable_without_public_samples,no,no,0,0,0,project_description_only_no_public_data,metadata_only_not_downloadable,RC016,"PRJNA1307773 currently exposes a project description for 21 ASD and 19 controls but no linked BioSamples, SRA runs, or publication."
SCR00088,BioProject,PRJNA1322369,Human viral metagenome,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322369,PRJDB38518; PRJCA034040; CRA022242,Yuan et al. 2025,Comparison of gut viral communities between autism spectrum disorder and healthy children,10.3389/fcimb.2025.1660970,41163852,PMC12558881,yes,China,case_control,22,11,11,,stool,,metagenome,,,Illumina MiSeq,,no,,no,,yes,yes,standard,"Primary article and accession both describe a fecal virome case-control cohort from Zhenjiang, Jiangsu, China with 11 ASD and 11 healthy children. Run/sample metadata map Humanfe* libraries to ASD children and Fe* libraries to healthy children. The article text reports next-generation sequencing on the Illumina NovaSeq platform, but the deposited SRA runs are labeled Illumina MiSeq; sequencing_platform was recorded from repository metadata and the discrepancy should be retained. | Count the 11 ASD and 11 controls once through SCR00088.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,22,11,11,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,metagenome,,,SCR00088,primary,complete_with_repository_mirror,yes,yes,11,11,22,release_n_total,confirmed_from_complete_sample_alias_match,RC021,"PRJNA1322369 is the paper-linked canonical deposit. Its 22 aliases match the complete CRA022242 alias set linked through PRJDB38518 and PRJCA034040, confirming that the records expose the same 11 ASD and 11 healthy-child cohort."
SCR00089,BioProject,PRJNA1327885,Autism-Microbiota,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1327885,,Penalba et al. 2026,Gut microbiota and its association with gastrointestinal symptoms and pharmacological treatments in a sibling-matched cohort with autism spectrum disorder,10.3389/frmbi.2026.1777385,41952964,PMC13055624,yes,Uruguay,cross_sectional,58,29,29,,stool,,16S,,,Oxford Nanopore GridION,,no,,no,,yes,yes,standard,"Primary article describes a sibling-matched cross-sectional fecal microbiome study in Uruguay with 29 children with ASD and 29 neurotypical siblings living in the same household. The article reports full-length 16S rRNA V1-V9 sequencing with R10.4.1 Oxford Nanopore chemistry, and Methods specify sequencing on a Gridion platform. Public run metadata confirm AMPLICON libraries on OXFORD_NANOPORE / GridION, but mislabel ScientificName as soil metagenome. The public accession currently exposes 54 runs/sample records and includes a Controlneg sample, whereas the article-level cohort is 58 participants and Methods mention 60 extracted samples; participant counts were therefore taken from the primary article. | Retain as an accession-level record, but do not count as an independent study or cohort.",v1.1-rc1,release_candidate,repository_mirror_or_alternate_release,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,58,29,29,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,16S,,,SCR00093,alternate_release,probable_complete,no,no,0,0,0,alternate_release_not_counted,strong_inference_from_primary_metadata,,"Same PMID/DOI, submitter, country, cohort counts, assay, body site, and platform as PRJNA1393140. The earlier accession exposes fewer public records."
SCR00092,BioProject,PRJNA1377943,Dissecting the gut microbiome in multiplex autism spectrum disorder families,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1377943,SRP655509,Lu et al. 2026,Gut microbiome composition and strain-sharing in multiplex autism spectrum disorder families,10.1038/s41467-026-70142-7,41748585,PMC13062010,yes,Hong Kong,cross_sectional,429,242,133,54,stool,,metagenome,,,Illumina NovaSeq 6000,paired,no,,no,,yes,yes,standard,"Primary article reports a cross-sectional human fecal metagenome cohort of 429 children: 75 ASD from multiplex families, 50 ASD from simplex families, 117 only-child ASD, 54 healthy siblings, and 133 typically developing controls. BioProject PRJNA1377943 and the linked PDF independently state that shotgun metagenomic sequencing was performed on all 429 stool samples. Public NCBI repository exposure currently shows 423 BioSample records and 380 SRA experiments/runs, while the article explicitly notes that participant metadata cannot be fully released publicly because of consent/privacy restrictions. Therefore, n_asd, n_control, n_other, and n_total were retained from the primary article, whereas country, body site, assay type, sequencing platform, and library_layout were confirmed from repository metadata. This row is treated as a reviewed paper-anchored cohort record rather than a repository-count-derived accession summary. | Count the paper cohort for study-level participant reporting, but report the current public shortfall and do not claim 429 downloadable participant-resolved runs.",v1.1-rc1,release_candidate,included,verified,,,,,article_sequenced_cohort,verified,429,242,133,54,not_curated,,,,,verified_total_only,423,,,,,,,,,423,380,incomplete_public_cohort,partial,article_and_partial_biosamples,unknown,no,no,stool,stool,metagenome,,,SCR00092,primary_privacy_limited_public_subset,no_overlap_detected_after_alias_date_and_file_audit,yes,yes,242,133,375,article_242_asd_133_td_54_healthy_siblings,strong_independence_inference_public_release_incomplete,RC009,"The article reports shotgun metagenomics for 429 children: 242 ASD, 133 typically developing controls, and 54 healthy siblings. The current archive exposes 423 BioSamples and 380 runs. S1000 and S1001 also occur in PRJNA943687, but dates, BioSamples, read counts, and FASTQ checksums differ, confirming a reused alias convention rather than duplicated sequence records."
