dataset_id,source_db,accession,dataset_title,url,linked_accessions,linked_publications,publication_title,doi,pmid,paper_verified,publication_link_status,country,study_design,n_total,n_asd,n_control,n_other,participant_count_scope,public_count_status,public_n_total,public_n_asd,public_n_control,body_site,specimen_type,anatomical_site,assay_type,assay_layers,sequencing_platform,raw_data_public,raw_data_granularity,participant_resolved_raw_data,downloadable_asd_control_pair,record_status,release_class,canonical_dataset_id,dataset_role,count_as_independent_dataset,count_in_unique_participant_total,unique_asd_contribution,unique_control_contribution,mapping_status,correction_issue_ids,notes,release_version,release_status
SCR00044,BioProject,PRJNA1046003,Microbiome AI decision-making: Autism Spectrum Disorder in children from Bosnia and Herzegovina,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1046003,SRP474617,Basic-Cicak et al. 2024,Utilizing Artificial Intelligence for Microbiome Decision-Making: Autism Spectrum Disorder in Children from Bosnia and Herzegovina,10.3390/diagnostics14222536,39594202,yes,verified,Bosnia and Herzegovina,case_control,60,44,16,,primary_asd_control_groups_only,verified_group_counts,60,44,16,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00044,primary,yes,yes,44,16,confirmed_from_article_and_complete_repository,,"Primary cohort includes 44 ASD and 16 neurotypical children from Bosnia and Herzegovina; the linked paper also used an external Italian validation dataset, but n_asd/n_control here are restricted to the PRJNA1046003 cohort only.",v1.1-rc1,release_candidate
SCR00045,BioProject,PRJNA1046699,Homo sapiens Raw sequence reads,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1046699,,Wang et al. 2025,Gut microbial GABA imbalance emerges as a metabolic signature in mild autism spectrum disorder linked to overrepresented Escherichia,10.1016/j.xcrm.2024.101919,39809266,yes,verified,China,case_control,105,50,55,,primary_asd_control_groups_only,verified_group_counts,105,50,55,stool,stool,stool,16S,16S,Illumina HiSeq 2500,yes,partial_public_subset,partial,no,included,standard,SCR00045,primary_public_subset,yes,yes,50,55,confirmed_public_subset_from_primary_metadata,,"PRJNA1046699 corresponds to the 16S screening-cohort subset described on the BioProject page as 50 ASD versus 55 TD fecal samples from Shanxi, China. Sample-level SRA XML confirms A-alias samples are ASD and B-alias samples are TD, while SRA library_strategy is tagged as WGS despite experiment titles and BioProject abstract explicitly describing 16S rRNA sequencing.",v1.1-rc1,release_candidate
SCR00046,BioProject,PRJNA1047541,Gut microbiota of children with ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1047541,SRP475852,Li et al. 2024,Effects and microbiota changes following oral lyophilized fecal microbiota transplantation in children with autism spectrum disorder,10.3389/fped.2024.1369823,38783921,yes,verified,China,intervention,68,38,30,,public_participant_resolved_records_only,verified_group_counts,10,10,0,stool,stool,stool,16S,16S,Illumina MiSeq,yes,partial_public_subset,partial,no,included_partial_public,standard,SCR00046,primary_public_subset,yes,partial,10,0,confirmed_public_asd_only_subset,RC006,"The primary article enrolled 38 ASD participants and 30 healthy controls in Shanghai, with repeated ASD stool sampling at weeks 0, 12, and 20 after oral lyophilized FMT. The article also generated fungal ITS data, but the public accession metadata currently expose a 16S amplicon subset with aliases A1_16s-A10_16s on Illumina MiSeq, so assay_type is normalized here to 16S. | Exclude this row from counts of downloadable paired ASD/control datasets until a companion control accession is verified.",v1.1-rc1,release_candidate
SCR00048,BioProject,PRJNA1057995,Analysis of the gut virome in children with autism,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1057995,,Qu et al. 2023,Children with autism show differences in the gut DNA virome compared to non-autistic children: a case control study,10.1186/s12887-023-03981-8,37060094,yes,verified,China,case_control,23,11,12,,primary_asd_control_groups_only,not_available,,,,stool,stool,stool,metagenome,metagenome,Illumina NovaSeq 6000,no,metadata_only,no,no,metadata_only,standard,SCR00048,bioproject_metadata_only,uncertain,no,0,0,frozen_raw_data_public_flag_requires_correction,RC013,"The study recruited 13 two-child Han Chinese families and collected 26 stool specimens, but 3 samples failed DNA-band QC; the final analyzed virome cohort comprised 11 ASD children and 12 healthy sibling controls. Controls are siblings rather than unrelated neurotypical children. | Do not classify this row as a downloadable public raw-sequence dataset unless a verified companion archive is identified.",v1.1-rc1,release_candidate
SCR00050,BioProject,PRJNA1077343,Homo sapiens Raw sequence reads,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1077343,SRP490155,,,,,no,not_linked,Saudi Arabia,case_control,23,12,11,,public_repository_participant_records,verified_group_counts,23,12,11,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00050,primary,yes,yes,12,11,confirmed_from_repository_biosample_metadata,,"No PubMed link or linked publication is present on the public BioProject PRJNA1077343 page or in bioproject-to-pubmed linkage, so publication fields were intentionally left blank. This row is therefore treated as a repository-only case-control dataset rather than a paper-verified publication row. Direct BioProject and SRA metadata support a coherent accession-level profile: 12 ASD and 11 control stool samples (n_total = 23), 16S rRNA gene sequencing, paired-end layout, and Illumina MiSeq platform. A candidate Saudi Arabia paper identified during QC (PMID 39328398; PMCID PMC11425773; doi 10.3892/etm.2024.12719) was not adopted because it reports only 4 ASD and 4 healthy sibling controls analyzed by whole-genome shotgun metagenomics and does not directly cite PRJNA1077343 in the verified source pages. The row was therefore retained on repository evidence alone, without forcing an unsupported publication link. | Retain as a repository-backed dataset without a linked publication.",v1.1-rc1,release_candidate
SCR00054,BioProject,PRJNA1088255,Mapping the Geographical Distribution of the Mucosa-Associated Gut Microbiome in GI-Symptomatic Children with Autism,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1088255,SRP495359,Reeves et al. 2024,Mapping the geographical distribution of the mucosa-associated gut microbiome in GI-symptomatic children with autism spectrum disorder,10.1152/ajpgi.00101.2024,38887795,yes,verified,United States,case_control,18,9,9,,primary_asd_control_groups_only,verified_group_counts,18,9,9,gut,mucosal_biopsy,antrum; distal_duodenum; terminal_ileum; right_colon; rectum,16S,16S,NextSeq 1000,yes,participant_resolved_with_multisite_samples,yes,yes,included,standard,SCR00054,primary,yes,yes,9,9,confirmed_participant_level_multisite_count,RC025,"BioProject and article describe mucosa-associated GI biopsies from antrum, duodenum, ileum, ascending colon, and rectum. Participant counts are derived from repository metadata: 18 unique subject IDs with 5 sites each, including 9 TX subjects annotated with host_disease autistic disorder and 9 EVV subjects without autistic-disease annotation, consistent with article wording that ASD children were compared with age-matched typically developing children. | Count 18 participants once; display 90 regional biopsy samples and their anatomical sites separately.",v1.1-rc1,release_candidate
SCR00055,BioProject,PRJNA1090096,ASD and Microbiota,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1090096,SRP496690,Gerges et al. 2024,Turicibacter and Catenibacterium as potential biomarkers in autism spectrum disorders,10.1038/s41598-024-73700-5,39369020,yes,verified,Lebanon,case_control,69,23,23,23,primary_asd_control_groups_only,verified_group_counts,69,23,23,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00055,primary,yes,yes,23,23,confirmed_from_article_and_complete_repository,RC026,"The article includes 3 human groups: 23 ASD subjects, 23 unaffected siblings, and 23 unrelated healthy controls. n_control is assigned to the unrelated control arm and n_other to the sibling arm. Repository metadata and article both indicate stool 16S sequencing, although SRA library_strategy is mislabeled as RNA-Seq. | Keep siblings in n_other. The archive library_strategy=RNA-Seq conflicts with the article's DNA-based 16S amplicon method.",v1.1-rc1,release_candidate
SCR00059,BioProject,PRJNA1103839,Gut microbiota Autism espectrum disorder and neurotypical children,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1103839,SRP503609,De Sales-Millán et al. 2024,Comprehensive Analysis of Gut Microbiota Composition and Functional Metabolism in Children with Autism Spectrum Disorder and Neurotypical Children: Implications for Sex-Based Differences and Metabolic Dysregulation,10.3390/ijms25126701,38928411,yes,verified,Mexico,case_control,61,30,31,,primary_asd_control_groups_only,verified_group_counts,61,30,31,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00059,primary,yes,yes,30,31,confirmed_from_article_and_complete_repository,,"Article and repository are concordant on cohort size and stool 16S design. PRJNA1103839 contains 30 TEA/ASD samples and 31 Control/NT samples from Mexico City. BioProject-to-PubMed elink is empty, but the article data-availability section explicitly cites PRJNA1103839.",v1.1-rc1,release_candidate
SCR00062,BioProject,PRJNA1121380,Colombian Children gut microbiota,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1121380,SRP512468,Bauer Estrada et al. 2025,Synbiotics of encapsulated Limosilactobacillus fermentum K73 promotes in vitro favorable gut microbiota shifts and enhances short-chain fatty acid production in fecal samples of children with autism spectrum disorder,10.1016/j.foodres.2025.116227,40253179,yes,verified,Colombia,case_control,24,6,18,,primary_asd_control_groups_only,verified_group_counts,24,6,18,stool,stool,stool,16S,16S,Illumina NovaSeq 6000,yes,participant_resolved,yes,yes,included,standard,SCR00062,primary,yes,yes,6,18,confirmed_from_article_and_complete_repository,,"Accession-level sample inventory contains 6 ASD samples (A01-A06) and 18 neurotypical controls (TD01-TD18) from Bogota, Colombia. BioProject explicitly describes an ASD-versus-neurotypical comparison. A linked preprint using PRJNA1121380 reports 7 ASD and 18 NT donors, and the Food Research International article describes a broader donor pool with selected subsets for in vitro fermentation; therefore participant counts here are taken from the public accession rather than from the downstream articles.",v1.1-rc1,release_candidate
SCR00066,BioProject,PRJNA1141738,Metagenomics of fecal microbiota in children with ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1141738,SRP523008,Shao et al. 2024,Gut microbial 'TNFα-sphingolipids-steroid hormones' axis in children with autism spectrum disorder: an insight from meta-omics analysis,10.1186/s12967-024-05973-3,39741321,yes,verified,China,case_control,52,26,26,,primary_asd_control_groups_only,verified_group_counts,52,26,26,stool,stool,stool,metagenome,metagenome,Illumina HiSeq 4000,yes,participant_resolved,yes,yes,included,standard,SCR00066,primary,yes,yes,26,26,confirmed_from_article_and_complete_repository,RC027,"Article and repository are concordant on cohort size and stool metagenome design. J Transl Med reports 26 ASD and 26 age- and sex-matched neurotypical controls recruited from Lishui Second People's Hospital, Zhejiang, China. SRA study SRP523008 / PRJNA1141738 contains A.1-A.26 and B.1-B.26 with LibrarySource=METAGENOMIC on Illumina HiSeq 4000. | Use the article method to classify this as metagenome; ENA labels library_strategy as OTHER.",v1.1-rc1,release_candidate
SCR00071,BioProject,PRJNA1207206,Gut microbiota diversity and composition in children with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1207206,SRP555640,Zeng et al. 2025,Gut microbiota diversity and composition in children with autism spectrum disorder: associations with symptom severity,10.7717/peerj.19528,40492208,yes,verified,China,case_control,46,30,16,,primary_asd_control_groups_only,verified_group_counts,46,30,16,stool,stool,stool,multi_amplicon,16S; ITS,Illumina MiSeq,yes,multi_assay_participant_resolved,yes,yes,included,standard,SCR00071,primary_multi_amplicon,yes,yes,30,16,confirmed_participant_level_multiassay_count,RC028,"Article and accession both describe a stool cohort from Putian, China. PRJNA1207206 / SRP555640 includes 92 runs for 46 participants because each subject has both 16S and ITS amplicon data; unique RunInfo subject IDs resolve to 16 H_* neurotypical controls and 30 C_* ASD children. Sample titles show healthy vs ASD severity labels, so n_asd/n_control are participant counts, not run counts. | Count 46 participants once and expose both amplicon layers.",v1.1-rc1,release_candidate
SCR00072,BioProject,PRJNA1222609,Comprehensive analysis of gut microbiota and fecal metabolites in patients with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1222609,SRP563365,Zheng et al. 2025,Comprehensive analysis of gut microbiota and fecal metabolites in patients with autism spectrum disorder,10.3389/fmicb.2025.1557174,40351314,yes,verified,China,case_control,52,34,18,,primary_asd_control_groups_only,verified_group_counts,52,34,18,stool,stool,stool,16S,16S,PacBio Sequel,yes,participant_resolved,yes,yes,included,standard,SCR00072,primary,yes,yes,34,18,confirmed_from_article_and_complete_repository,,"Primary article reports 34 ASD and 18 healthy controls recruited at the Fifth Affiliated Hospital of Zhengzhou University, Zhengzhou, China, with fresh fecal samples and long-read 16S plus fecal metabolomics. A 2026 Frontiers correction (doi 10.3389/fmicb.2026.1812620; PMID 42022126; PMCID PMC13096826) explicitly states that Nanopore MinION was mistakenly reported in the original paper and corrects the sequencing platform to PacBio Sequel II. Public SRA accession PRJNA1222609 exposes 52 amplicon runs with PACBIO_SMRT/Sequel labels, single-end layout, and .ccs files, which is consistent with the corrected article at the platform-family level. sequencing_platform was therefore retained as the repository-normalized PacBio Sequel value and library_layout was kept as single from SRA metadata.",v1.1-rc1,release_candidate
SCR00077,BioProject,PRJNA1273336,Gut Microbiota Characteristics and the Efficacy of Fecal Microbiota Transplantation in Children with Autism Spectrum Disorder in Central China: A Cross-sectional and Prospective Combined Study,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1273336,,Wu et al. 2025,Gut microbiota characteristics and therapeutic effects of fecal microbiota transplantation in children with autism spectrum disorder in central China: a combined cross-sectional and prospective study,10.3389/fped.2025.1648471,40963960,yes,verified,China,intervention,99,48,51,,primary_asd_control_groups_only,verified_group_counts,99,48,51,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00077,primary,yes,yes,48,51,verified_participant_level_longitudinal_count,,"The linked article combines a baseline cross-sectional ASD vs HC comparison with a prospective FMT arm. Participant counts were recorded from the baseline cohort in the article and study abstract: 48 ASD and 51 healthy controls, with 25 ASD participants entering FMT. Accession PRJNA1273336 contains 123 amplicon samples because it includes baseline HC and repeated ASD fecal samples (pre-FMT and 3-month post-FMT) under the same study.",v1.1-rc1,release_candidate
SCR00081,BioProject,PRJNA1277165,Gut Microbiota and Urine Metabolomics Signature in Autism Spectrum Disorder children from Southern China,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1277165,SRP592406,Huang et al. 2025,Gut microbiota and urine metabolomics signature in autism spectrum disorder children from Southern China,10.1186/s12887-025-05922-z,40797237,yes,verified,China,case_control,88,58,30,,primary_asd_control_groups_only,verified_group_counts,88,58,30,stool,stool,stool,16S,16S,Illumina NovaSeq 6000,yes,participant_resolved,yes,yes,included,standard,SCR00081,primary,yes,yes,58,30,confirmed_from_article_and_complete_repository,,"Primary article and repository are concordant on cohort size: 58 ASD children and 30 healthy controls from Guangxi/Nanning, China. The article states fecal and urine samples were collected; only the gut microbiota 16S arm is represented in this extraction row. Repository sample aliases ASD01-ASD58 and CON01-CON30 match the article counts exactly.",v1.1-rc1,release_candidate
SCR00082,BioProject,PRJNA1280289,Gut Microbiota Composition and Phylogenetic Analysis in Autism Spectrum Disorder: A Comparative Study,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1280289,SRP593577,Xiang et al. 2025,Gut microbiota composition and phylogenetic analysis in autism spectrum disorder: a comparative study,10.3389/fpsyt.2025.1609638,40666436,yes,verified,China,case_control,71,38,33,,article_analyzed_cohort,verified_total_only,76,,,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved_group_crosswalk_incomplete,partial,unknown,included,standard,SCR00082,primary,yes,yes,38,33,confirmed_article_cohort_archive_crosswalk_incomplete,RC029,"Primary article and PubMed abstract consistently report 38 ASD children and 33 age-matched Control fecal samples analyzed by 16S rRNA sequencing on Illumina MiSeq (V3-V4 region). Public SRA accession PRJNA1280289 contains 76 paired-end amplicon libraries labeled A1-A78 (missing A10 and A34) without explicit ASD/control annotation; however, the article methods state that negative control, mock-community runs, and technical replicates were also sequenced, which plausibly explains extra non-participant libraries. Participant counts were therefore retained from the linked primary article, while library_layout and platform were recorded from repository metadata. | Count the explicitly analyzed 71-person article cohort once. Do not assign diagnostic labels to all 76 archive records without a crosswalk.",v1.1-rc1,release_candidate
SCR00086,BioProject,PRJNA1307773,Metagenomic data on adolescents with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1307773,,,,,,no,not_linked,China,case_control,40,21,19,,primary_asd_control_groups_only,not_available,,,,gut,gastrointestinal_sample_unspecified,gut,metagenome,metagenome,,no,metadata_only,no,no,metadata_only,standard,SCR00086,bioproject_metadata_only,no,no,0,0,metadata_only_not_downloadable,RC016,"Public BioProject metadata explicitly states 21 adolescents with ASD and 19 age- and gender-matched healthy controls and describes the study as metagenomic data intended to decipher gut microbial dysbiosis and dysfunctions in adolescents with ASD. BioProject XML and Entrez summary confirm a metagenome / whole-capture project, while current NCBI linkouts expose no linked publication, no PubMed record, no BioSample list, no public SRA runs, and no retrievable run-level metadata. country was recorded as China by inference from the submitter institution (Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, China), not from sample-level geographic metadata. sequencing_platform and library_layout remain blank because no public sequence-level record is exposed. This row is therefore treated as a reviewed metadata-only human ASD/control repository record, not a paper-verified sequencing row. | Retain only as a tracked metadata record; exclude it from downloadable-dataset and public-participant totals.",v1.1-rc1,release_candidate
SCR00088,BioProject,PRJNA1322369,Human viral metagenome,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322369,PRJDB38518; PRJCA034040; CRA022242,Yuan et al. 2025,Comparison of gut viral communities between autism spectrum disorder and healthy children,10.3389/fcimb.2025.1660970,41163852,yes,verified,China,case_control,22,11,11,,primary_asd_control_groups_only,verified_group_counts,22,11,11,stool,stool,stool,metagenome,metagenome,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00088,primary,yes,yes,11,11,confirmed_from_complete_sample_alias_match,RC021,"Primary article and accession both describe a fecal virome case-control cohort from Zhenjiang, Jiangsu, China with 11 ASD and 11 healthy children. Run/sample metadata map Humanfe* libraries to ASD children and Fe* libraries to healthy children. The article text reports next-generation sequencing on the Illumina NovaSeq platform, but the deposited SRA runs are labeled Illumina MiSeq; sequencing_platform was recorded from repository metadata and the discrepancy should be retained. | Count the 11 ASD and 11 controls once through SCR00088.",v1.1-rc1,release_candidate
SCR00089,BioProject,PRJNA1327885,Autism-Microbiota,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1327885,,Penalba et al. 2026,Gut microbiota and its association with gastrointestinal symptoms and pharmacological treatments in a sibling-matched cohort with autism spectrum disorder,10.3389/frmbi.2026.1777385,41952964,yes,verified,Uruguay,cross_sectional,58,29,29,,primary_asd_control_groups_only,verified_group_counts,58,29,29,stool,stool,stool,16S,16S,Oxford Nanopore GridION,yes,participant_resolved,yes,yes,repository_mirror_or_alternate_release,standard,SCR00093,alternate_release,no,no,0,0,strong_inference_from_primary_metadata,,"Primary article describes a sibling-matched cross-sectional fecal microbiome study in Uruguay with 29 children with ASD and 29 neurotypical siblings living in the same household. The article reports full-length 16S rRNA V1-V9 sequencing with R10.4.1 Oxford Nanopore chemistry, and Methods specify sequencing on a Gridion platform. Public run metadata confirm AMPLICON libraries on OXFORD_NANOPORE / GridION, but mislabel ScientificName as soil metagenome. The public accession currently exposes 54 runs/sample records and includes a Controlneg sample, whereas the article-level cohort is 58 participants and Methods mention 60 extracted samples; participant counts were therefore taken from the primary article. | Retain as an accession-level record, but do not count as an independent study or cohort.",v1.1-rc1,release_candidate
