"dataset_id","bioproject_accession","study_accession","geo_accession","mgnify_accession","qiita_study_id","pubmed_id","doi","first_author","year","title","comparison","sequencing_type","body_site","n_asd","n_control","n_total","age_group","gi_symptoms","antibiotics_reported","country","source_db","notes"
"DS0011","PRJNA1280289","","","","","40666436","10.3389/fpsyt.2025.1609638","Xiang","2025","Gut microbiota composition and phylogenetic analysis in autism spectrum disorder: a comparative study","ASD_vs_control","16S","stool","unknown","unknown","76","child","yes","unknown","China","bioproject","Leshan Normal University; investigates SCFA production and GI disturbances; 76 samples; exact ASD/control split not specified"
"DS0012","PRJNA1277165","","","","","40797237","10.1186/s12887-025-05922-z","Huang","2025","Gut microbiota and urine metabolomics signature in autism spectrum disorder children from Southern China","ASD_vs_control","16S","stool","unknown","unknown","88","child","unknown","unknown","China","bioproject","First Affiliated Hospital of Guangxi Medical University; 88 participants from Guangxi; 16S rRNA + untargeted urine metabolomics; exact ASD/control split not specified"
"DS0013","PRJNA1274164","","","","","","","","2025","A novel synbiotic (SCM06) for anxiety and sensory hyperresponsiveness in children with autism spectrum disorder: an open-label pilot study","ASD_vs_control","metagenome","stool","30","0","30","child","unknown","unknown","China","bioproject","Chinese University of Hong Kong; open-label pilot; 30 ASD children; synbiotic regulating GABA and immune function; NCT06126185; 86 SRA experiments (multiple timepoints)"
"DS0014","PRJNA1273336","","","","","40963960","10.3389/fped.2025.1648471","Wu","2025","Gut microbiota characteristics and therapeutic effects of fecal microbiota transplantation in children with autism spectrum disorder in central China","ASD_vs_control","16S","stool","48","51","99","child","yes","unknown","China","bioproject","Zhongnan Hospital of Wuhan University; cross-sectional + FMT prospective study; 25 ASD received FMT; 123 total SRA experiments include follow-up"
"DS0015","PRJNA1222609","","","","","40351314","10.3389/fmicb.2025.1557174","Zheng","2025","Comprehensive analysis of gut microbiota and fecal metabolites in patients with autism spectrum disorder","ASD_vs_control","16S","stool","34","18","52","unknown","unknown","unknown","China","bioproject","Fifth Affiliated Hospital of Zhengzhou University; long-read 16S rRNA + untargeted metabolomics; age group not specified in abstract"
"DS0016","PRJNA1207206","","","","","40492208","10.7717/peerj.19528","Zeng","2025","Gut microbiota diversity and composition in children with autism spectrum disorder: associations with symptom severity","ASD_vs_control","16S","stool","unknown","unknown","46","child","unknown","unknown","China","bioproject","Putian University; 46 fecal samples across 3 groups (healthy, severe ASD, mild ASD); bacterial and fungal communities analyzed; 92 SRA experiments"
"DS0017","PRJNA1199347","","","","","40772261","10.3389/fnins.2025.1602681","Pan","2025","Does constipation affect the effectiveness of washed microbiota transplantation in treating autism spectrum disorders?","ASD_vs_control","16S","stool","103","0","103","child","yes","unknown","China","bioproject","First Affiliated Hospital of Guangdong Pharmaceutical University; WMT study; ASD patients with/without constipation; no healthy control group; 118 SRA experiments"
"DS0018","PRJNA1155863","","","","","39458315","10.3390/microorganisms12102006","Alba","2024","Metataxonomic and Immunological Analysis of Feces from Children with or without Phelan-McDermid Syndrome","ASD_vs_control","16S","stool","unknown","unknown","62","child","unknown","unknown","Spain","bioproject","Universidad Complutense de Madrid; Phelan-McDermid syndrome (ASD-associated); 16S + SCFA + cytokine analysis; 62 samples; PMS vs healthy controls"
"DS0019","PRJNA1141738","","","","","","","","2024","Metagenomics of fecal microbiota in children with ASD","ASD_vs_control","metagenome","stool","unknown","unknown","52","child","unknown","unknown","China","bioproject","Hangzhou Normal University; fecal metagenomics; 52 samples; exact ASD/control split not specified"
"DS0020","PRJNA1136218","","","","","39457661","10.3390/biomedicines12102350","Scanu","2024","Correction of Batch Effect in Gut Microbiota Profiling of ASD Cohorts from Different Geographical Origins","ASD_vs_control","16S","stool","unknown","unknown","82","child","unknown","unknown","Italy","bioproject","Bambino Gesu Children's Hospital Rome; methodological study on batch effect correction; multiple geographical cohorts; 82 samples"
"DS0021","PRJNA1121380","","","","","","","","2024","Colombian Children gut microbiota","ASD_vs_control","16S","stool","unknown","unknown","24","child","unknown","unknown","Colombia","bioproject","Universidad de La Sabana; ASD vs neurotypical controls; Colombian children; 24 samples; Contrato Marco 324-2021-RGE0381"
"DS0022","PRJNA1116522","","","","","40671079","10.1186/s12967-025-06846-z","Zhong","2025","Tongue-coating microbiota as a predictive biomarker of washed microbiota transplantation efficacy in pediatric autism: integration with clinical features","ASD_vs_control","16S","oral","unknown","unknown","unknown","child","unknown","unknown","China","bioproject","First Affiliated Hospital of Guangdong Pharmaceutical University; tongue-coating + gut microbiota; WMT treatment; 567 SRA experiments; oral and gut samples"
"DS0023","PRJNA1112427","","","","","","","","2024","Effects of low FODMAP diet and probiotics on behavioral problems and gut microbiota in children with autism spectrum disorder","ASD_vs_control","16S","stool","unknown","unknown","31","child","yes","unknown","Turkey","bioproject","University of Health Sciences; dietary intervention study; FODMAP diet + probiotics; 31 samples; GI symptoms investigated"
"DS0024","PRJNA1103839","","","","","","","","2024","Gut microbiota Autism spectrum disorder and neurotypical children","ASD_vs_control","16S","stool","unknown","unknown","61","child","unknown","unknown","Mexico","bioproject","Instituto Nacional de Pediatria; 16S of stool from Mexican ASD and sex/age-matched neurotypical children; 61 samples"
"DS0025","PRJNA1090096","","","","","39369020","10.1038/s41598-024-73700-5","Gerges","2024","Turicibacter and Catenibacterium as potential biomarkers in autism spectrum disorders","ASD_vs_control","16S","stool","unknown","unknown","69","child","unknown","unknown","Lebanon","bioproject","Holy Spirit University of Kaslik; ASD subjects + unaffected siblings + controls from various Lebanese regions; 69 samples"
"DS0026","PRJNA1088255","","","","","38887795","10.1152/ajpgi.00101.2024","Reeves","2024","Mapping the geographical distribution of the mucosa-associated gut microbiome in GI-symptomatic children with autism spectrum disorder","ASD_vs_control","16S","gut","unknown","unknown","90","child","yes","unknown","USA","bioproject","Wake Forest University School of Medicine; biopsies from 5 GI regions (antrum duodenum ileum ascending colon rectum); 90 samples; sex-specific differences noted"
"DS0027","PRJNA1077343","","","","","","","","2024","16S rRNA gut microbiota in ASD and healthy children","ASD_vs_control","16S","stool","12","11","23","child","unknown","unknown","Saudi Arabia","bioproject","Majmaah University; Illumina 16S rRNA V3-V4; 12 ASD vs 11 non-ASD; 23 samples"
"DS0028","PRJNA1057995","","","","","","","","2023","Analysis of the gut virome in children with autism","ASD_vs_control","metagenome","stool","unknown","unknown","unknown","child","unknown","unknown","China","bioproject","Beijing Institute of Genomics CAS; viral metagenomics; sibling-pair design (one ASD one healthy); linked to PRJCA015006; no public SRA data yet"
"DS0029","PRJNA1047541","","","","","38783921","10.3389/fped.2024.1369823","Li","2024","Effects and microbiota changes following oral lyophilized fecal microbiota transplantation in children with autism spectrum disorder","ASD_vs_control","16S","stool","38","30","68","child","unknown","unknown","China","bioproject","Shanghai Children's Hospital; oral lyophilized FMT; 16S rRNA + ITS; 38 ASD + 30 healthy controls; 10 SRA experiments in BioProject"
"DS0030","PRJNA1046699","","","","","39809266","10.1016/j.xcrm.2024.101919","Wang","2025","Gut microbial GABA imbalance emerges as a metabolic signature in mild autism spectrum disorder linked to overrepresented Escherichia","ASD_vs_control","16S","stool","50","55","105","child","unknown","unknown","China","bioproject","Screening cohort 50 ASD vs 55 TD; Seventh Affiliated Hospital of Sun Yat-sen University; V3-V4 16S rRNA"
"DS0031","PRJNA1046003","","","","","","","","2023","Microbiome AI decision-making: Autism Spectrum Disorder in children from Bosnia and Herzegovina","ASD_vs_control","16S","stool","44","16","60","child","unknown","unknown","Bosnia and Herzegovina","bioproject","University Sarajevo School of Science and Technology; no linked publication found"
"DS0032","PRJNA1022510","","GSE244391","","","38110423","10.1038/s41522-023-00469-2","Carmel","2023","Bacteroides is increased in an autism cohort and induces autism-relevant behavioral changes in mice in a sex-dependent manner","ASD_vs_control","16S","stool","96","42","138","unknown","unknown","unknown","Israel","bioproject","Also includes mouse model validation; NPJ Biofilms Microbiomes"
"DS0033","PRJNA988151","","","","","","","","2023","Nutrition and gut microbiota in children with and without autism spectrum disorder","ASD_vs_control","16S","stool","35","30","65","child","unknown","unknown","unknown","bioproject","Children aged 3-12; dietary intake, nutritional status, sensory profiles examined; no linked publication found"
"DS0034","PRJEB62437","","","","","","","","2023","Autism cohort gut-brain axis multi-omic analysis","ASD_vs_control","shotgun","stool","unknown","unknown","95","unknown","unknown","unknown","USA","bioproject","University of California San Diego; multi-omic analysis of 10 microbiome datasets; 95 SRA experiments"
"DS0035","PRJNA972634","","","","","","","","2023","Gut-DNA virome community in children with autism spectrum disorder","ASD_vs_control","shotgun","stool","unknown","unknown","unknown","child","unknown","unknown","China","bioproject","Chinese University of Hong Kong; DNA virome study; no public data linked at time of extraction"
"DS0036","PRJNA953169","","","","","","","","2023","Gut microbiota and metabolomics in child with autism spectrum disorder","ASD_vs_control","16S","stool","unknown","unknown","83","child","yes","unknown","China","bioproject","Southeastern coastal China; chronic GI symptoms (constipation, diarrhea) noted in ASD population; 83 SRA samples"
"DS0037","PRJNA952791","","","","","","","","2023","Microbiota of ASD and neurotypical human and humanized-mouse fecal samples","ASD_vs_control","16S","stool","unknown","unknown","unknown","unknown","unknown","unknown","USA","bioproject","University of Utah School of Medicine; includes 16S and WGS for Blautia isolate; humanized-mouse model also included; 167 SRA experiments"
"DS0038","PRJNA943687","","","","","","","","2023","Faecal metagenome of children with autism spectrum disorder and neurotypical children in Hong Kong","ASD_vs_control","shotgun","stool","unknown","unknown","unknown","child","unknown","unknown","China","bioproject","Chinese University of Hong Kong; 2089 SRA experiments; large-scale shotgun WGS study; ongoing data updates"
"DS0039","PRJNA941891","","","","","","","","2023","16S amplicon data for pediatric ASD patients receiving probiotic intervention with VISBIOME","ASD_vs_control","16S","stool","unknown","unknown","41","child","unknown","unknown","USA","bioproject","Probiotic intervention study; related to Arnold 2019 VISBIOME trial; 41 SRA experiments"
"DS0040","PRJNA940472","","","","","31478755","10.1089/cap.2018.0156","Arnold","2019","Probiotics for Gastrointestinal Symptoms and Quality of Life in Autism: A Placebo-Controlled Pilot Trial","ASD_vs_control","shotgun","stool","13","13","26","child","yes","unknown","USA","bioproject","Baylor College of Medicine; crossover design with VISBIOME probiotic; ages 3-12; WGS on HiSeq X Ten"
"DS0041","PRJNA932561","","","","","","","","2023","16S sequencing data from children with autism and normal","ASD_vs_control","16S","stool","unknown","unknown","80","child","unknown","unknown","unknown","bioproject","Submitted by TreatGut; Illumina MiniSeq; 80 SRA experiments; no linked publication found"
"DS0042","PRJNA928241","","","","","","","","2023","Gut microbiome of autism spectrum disorder patients in Thailand","ASD_vs_control","16S","stool","unknown","unknown","95","unknown","unknown","unknown","Thailand","bioproject","King Mongkut's University of Technology Thonburi; 16S rRNA on NovaSeq 6000; no linked publication found"
"DS0043","PRJNA910918","","","","","","","","2022","ASD patients gut metagenome","ASD_vs_control","16S","stool","unknown","unknown","unknown","child","unknown","unknown","unknown","bioproject","Laboratory of Microbial Genomics and Metabolic Engineering; 16S rRNA amplification; only 1 SRA experiment; minimal metadata"
"DS0044","PRJNA845014","","","","","35800387","10.3389/fcimb.2022.886196","Hong","2022","The Difference of Gut Microbiota and Their Correlations With Urinary Organic Acids Between Autistic Children With and Without Atopic Dermatitis","ASD_vs_control","shotgun","stool","61","25","86","child","unknown","unknown","China","bioproject","Beijing; 36 ASD+AD, 25 ASD-only, 25 controls; metagenomic shotgun on HiSeq 2500"
"DS0045","PRJNA843912","","","","","36274684","10.3389/fmicb.2022.1000419","Deng","2022","Gastrointestinal symptoms have a minor impact on autism spectrum disorder and associations with gut microbiota and short-chain fatty acids","ASD_vs_control","16S","stool","45","45","90","child","yes","unknown","China","bioproject","Guangzhou/Shenzhen; 16S rRNA gene sequencing; GI symptoms and SCFA analysis; no SRA data found in SRA search"
"DS0046","PRJNA815491","","","","","27581276","10.1080/09168451.2016.1222267","Inoue","2016","A preliminary investigation on the relationship between gut microbiota and gene expressions in peripheral mononuclear cells of infants with autism spectrum disorders","ASD_vs_control","16S","stool","unknown","unknown","12","child","unknown","unknown","unknown","bioproject","Infant feces; 16S metagenome on Illumina MiSeq; 12 SRA experiments; fecal and blood samples analyzed"
"DS0047","PRJNA814201","","GSE198199","","","35405953","10.3390/nu14071340","Chiappori","2022","Analysis of Faecal Microbiota and Small ncRNAs in Autism: Detection of miRNAs and piRNAs with Possible Implications in Host-Gut Microbiota Cross-Talk","ASD_vs_control","16S","stool","6","6","12","child","unknown","unknown","unknown","bioproject","Small ncRNA profiling; also microbiome and mycobiome analysis; Nutrients journal; 12 SRA experiments"
"DS0048","PRJNA801712","","","","","","","","2022","The role of probiotics in children with autism spectrum disorders","ASD_vs_control","shotgun","stool","unknown","unknown","160","child","unknown","unknown","China","bioproject","Zhengzhou University; prospective RCT of probiotics; 160 children randomized; no public SRA data found"
"DS0049","PRJNA786259","","","","","","","","2021","Fecal microbiota transplantation effect on gut microbiota in patients with autism","ASD_vs_control","shotgun","stool","unknown","unknown","104","unknown","unknown","unknown","China","bioproject","Institution of Digestive Diseases; FMT study; shotgun WGS on HiSeq 4000; 104 SRA experiments"
"DS0050","PRJNA769228","","","","","34975585","10.3389/fpsyt.2021.789864","Chen","2021","Gut Microbial Profile Is Associated With the Severity of Social Impairment and IQ Performance in Children With Autism Spectrum Disorder","ASD_vs_control","16S","stool","138","123","261","child","unknown","unknown","China","bioproject","Xinhua Hospital, Shanghai Jiao Tong University; 16S rRNA; 76 ASD+DD, 62 ASD-only, 63 DD controls, 60 TD controls"
"DS0051","PRJEB45948","","","","","34684301","10.3390/nu13103300","Ha","2021","Altered Gut Microbiota in Korean Children with Autism Spectrum Disorders","ASD_vs_control","16S","stool","54","38","92","child","unknown","unknown","South Korea","bioproject","ILDONG Pharmaceutical; 16S on Illumina MiSeq; Nutrients journal"
"DS0052","PRJNA758217","","","","","34737978","10.3389/fcimb.2021.759435","Li","2021","Fecal Microbiota Transplantation Relieves Gastrointestinal and Autism Symptoms by Improving the Gut Microbiota in an Open-Label Study","ASD_vs_control","16S","stool","unknown","unknown","unknown","child","yes","unknown","China","bioproject","Daping Hospital, Army Medical University, Chongqing; FMT open-label study; 521 SRA experiments; GI symptoms focus"
"DS0053","PRJNA754695","","","","","34763095","10.1016/j.jprot.2021.104407","Levi Mortera","2022","A metaproteomic-based gut microbiota profiling in children affected by autism spectrum disorders","ASD_vs_control","16S","stool","unknown","unknown","41","child","unknown","unknown","Italy","bioproject","Bambino Gesu Children Hospital; 16S rRNA on Illumina MiSeq; metaproteomic approach; 41 SRA experiments"
"DS0054","PRJNA746094","","","","","39870302","10.1016/j.jare.2025.01.036","Osama","2025","Integrative multi-omics analysis of autism spectrum disorder reveals unique microbial macromolecules interactions","ASD_vs_control","16S","stool","30","30","60","child","unknown","unknown","Egypt","bioproject","Children's Cancer Hospital 57357 Cairo; 16S rRNA V3-V4 on Illumina MiSeq; multi-omics including metaproteomics and metabolomics"
"DS0055","PRJNA744027","","","","","35783298","10.3389/fped.2022.928785","Pan","2022","Beneficial Effects of Repeated Washed Microbiota Transplantation in Children With Autism","ASD_vs_control","16S","stool","unknown","unknown","101","child","unknown","unknown","China","bioproject","First Affiliated Hospital of Guangdong Pharmaceutical University; washed microbiota transplantation; 101 SRA experiments"
"DS0056","PRJNA715668","","","","","","","","2021","Human gut microbiota of the fathers of autism children","ASD_vs_control","16S","stool","unknown","unknown","110","adult","unknown","unknown","China","bioproject","Shanghai Jiao Tong University; 16S rRNA V3-V3 region; fathers of ASD children; 110 SRA experiments; no linked publication found"
"DS0057","PRJNA701402","","","","","37199526","10.1080/19490976.2023.2211923","Bundgaard-Nielsen","2023","Children and adolescents with attention deficit hyperactivity disorder and autism spectrum disorder share distinct microbiota compositions","ASD_vs_control","16S","stool","unknown","unknown","104","child","unknown","unknown","Denmark","bioproject","North Denmark Regional Hospital; 16S rRNA V4; includes ADHD, ASD, comorbid, and controls; 104 SRA experiments"
"DS0058","PRJEB42687","","","","","33824197","10.1128/mSystems.00848-20","Fouquier","2021","The Gut Microbiome in Autism: Study-Site Effects and Longitudinal Analysis of Behavior Change","ASD_vs_control","16S","stool","unknown","unknown","78","unknown","yes","unknown","USA","bioproject","Arizona and Colorado sites; longitudinal design; GI symptoms significantly higher in ASD in Arizona but not Colorado; 78 SRA experiments on Illumina MiSeq"
"DS0059","PRJNA691555","","","","","34211637","10.1080/20002297.2021.1936434","Abdulhaq","2021","Tongue microbiome in children with autism spectrum disorder","ASD_vs_control","16S","oral","25","38","63","child","unknown","unknown","USA","bioproject","Tongue scraping samples; V1-V3 region; no significant overall difference found"
"DS0060","PRJNA687773","","","","","33268567","10.1128/mSphere.01044-20","Chen","2020","Gut Bacteria Shared by Children and Their Mothers Associate with Developmental Level and Social Deficits in Autism Spectrum Disorder","ASD_vs_control","16S","stool","76","47","123","child","unknown","unknown","China","bioproject","Mother-child pairs; 16S rRNA V3-V4; mothers also sampled; total with mothers ~246"
"DS0061","PRJNA686821","","","","","38307030","10.1016/j.xcrm.2024.101409","Wan","2024","Alterations in fecal virome and bacteriome virome interplay in children with autism spectrum disorder","ASD_vs_control","shotgun","stool","60","64","124","child","unknown","unknown","China","bioproject","Hong Kong CUHK; virome and bacteriome analysis; may overlap with PRJNA1037036"
"DS0062","PRJNA675093","","","","","34062986","10.3390/nu13051552","Kong","2021","Probiotic and Oxytocin Combination Therapy in Patients with Autism Spectrum Disorder: A Randomized, Double-Blinded, Placebo-Controlled Pilot Trial","ASD_vs_control","16S","stool","35","unknown","35","mixed","unknown","unknown","USA","bioproject","Intervention study; ages 3-20; probiotic L. plantarum PS128 + oxytocin; submitted via MGH"
"DS0063","PRJNA644730","","","","","33268567","10.1128/mSphere.01044-20","Chen","2020","Gut Bacteria Shared by Children and Their Mothers Associate with Developmental Level and Social Deficits in Autism Spectrum Disorder","ASD_vs_control","16S","stool","76","47","123","child","unknown","unknown","China","bioproject","Shanghai; 16S V3-V4; mothers also sampled; data may overlap with PRJNA687773"
"DS0064","PRJNA642975","","","","","33642989","10.3389/fnins.2021.635925","Cao","2021","Dysbiotic Gut Microbiota and Dysregulation of Cytokine Profile in Children and Teens With Autism Spectrum Disorder","ASD_vs_control","16S","stool","45","41","86","mixed","unknown","unknown","China","bioproject","Kunming Medical University; ages 2-19; cytokine profiling included"
"DS0065","PRJNA624252","","","","","","","unknown","2020","16S rRNA gene sequence of autism spectrum disorder children","ASD_vs_control","16S","stool","unknown","unknown","50","child","unknown","unknown","China","bioproject","Zhengzhou University; 50 samples total; no linked publication found"
"DS0066","PRJNA615774","","","","","32982808","10.3389/fpsyt.2020.00855","Hua","2020","The Gut Microbiota and Associated Metabolites Are Altered in Sleep Disorder of Children With Autism Spectrum Disorders","ASD_vs_control","16S","stool","60","60","120","child","unknown","unknown","China","bioproject","Chongqing; ASD with vs without sleep disorder; no neurotypical controls; 16S + metabolomics"
"DS0067","PRJNA599249","","","","","32305492","10.1016/j.phrs.2020.104784","Wang","2020","Probiotics and fructo-oligosaccharide intervention modulate the microbiota-gut brain axis to improve autism spectrum reducing also the hyper-serotonergic state and the dopamine metabolism disorder","ASD_vs_control","16S","stool","26","24","50","child","unknown","unknown","China","bioproject","Shandong; intervention study with probiotics+FOS; 16S rRNA sequencing"
"DS0068","PRJNA592843","","","","","32100127","10.1007/s00248-020-01494-w","Chen","2020","Therapeutic Effects of the In Vitro Cultured Human Gut Microbiota as Transplants on Altering Gut Microbiota and Improving Symptoms Associated with Autism Spectrum Disorder","ASD_vs_control","16S","stool","unknown","unknown","32","child","unknown","unknown","China","bioproject","Xiamen University; mouse model study using human ASD donor microbiota; 32 BioSamples"
"DS0069","PRJNA589343","","","","","32912596","10.1016/j.jpsychires.2020.06.032","Ding","2020","Gut microbiota changes in patients with autism spectrum disorders","ASD_vs_control","16S","stool","77","50","127","child","unknown","unknown","China","bioproject","Largest Chinese ASD gut microbiota study at time; 3 microbial markers identified; Gothenburg submission"
"DS0070","PRJNA578223","","","","","32830918","10.1002/aur.2358","Zou","2020","Changes in the Gut Microbiota of Children with Autism Spectrum Disorder","ASD_vs_control","16S","stool","48","48","96","child","unknown","unknown","China","bioproject","Shanghai; 16S rRNA gene; V3-V4 region"
"DS0071","PRJNA559058","","","","","","","unknown","2019","The oral microbiome of ASD mother-child pairs and healthy mother-child pairs","ASD_vs_control","16S","oral","57","26","83","child","unknown","unknown","China","bioproject","Shandong; oral microbiome; mother-child pairs; total with mothers ~166; no linked publication found"
"DS0072","PRJNA533120","","","","","29274915","10.1016/j.anaerobe.2017.12.007","Kang","2018","Differences in fecal microbial metabolites and microbiota of children with autism spectrum disorders","ASD_vs_control","16S","stool","21","23","44","child","yes","unknown","USA","bioproject","Resequencing of Kang et al. data; MiSeq; 82 samples; also linked to Kang 2013 PLoS One"
"DS0073","PRJNA530620","","","","","36875075","10.3389/fimmu.2023.1100816","Xu","2023","Differences of gut microbiota and behavioral symptoms between two subgroups of autistic children based on gamma-delta T cells-derived IFN-gamma levels: A preliminary study","ASD_vs_control","shotgun","stool","38","0","38","child","unknown","unknown","China","bioproject","Peking Union Medical College Hospital; only ASD subgroups compared; no neurotypical controls in sequenced subset"
"DS0074","PRJNA516054","","","","","32213246","10.1099/jmm.0.001178","Averina","2020","The bacterial neurometabolic signature of the gut microbiota of young children with autism spectrum disorders","ASD_vs_control","shotgun","stool","36","21","57","child","unknown","unknown","Russia","bioproject","Vavilov Institute; ages 3-5; whole metagenome; neurometabolic signature analysis"
"DS0075","PRJNA453894","","","","","31026579","10.1016/j.gpb.2019.01.002","Li","2019","Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment","ASD_vs_control","16S","stool","59","30","89","child","unknown","unknown","China","bioproject","Shandong; 16S V1-V2; mother-child pairs; total with mothers ~178; biomarker discovery"
"DS0076","PRJNA453621","GSE113690","GSE113690","","","32312186","10.1080/19490976.2020.1747329","Dan","2020","Altered gut microbial profile is associated with abnormal metabolism activity of Autism Spectrum Disorder","ASD_vs_control","16S","stool","143","143","286","child","unknown","unknown","China","bioproject","Nanjing Medical University; V4 region; largest 16S ASD cohort from China; also linked to metagenomics GSE113540"
"DS0077","PRJNA451479","GSE113540","GSE113540","","","33412999","10.1080/19490976.2020.1747329","Liu","2021","Altered gut microbial profile is associated with abnormal metabolism activity of Autism Spectrum Disorder","ASD_vs_control","shotgun","stool","30","30","60","child","unknown","unknown","China","bioproject","Nanjing Medical University; metagenomics companion to PRJNA453621; 30 ASD + 30 controls"
"DS0078","PRJEB23052","","","","","30701194","10.1128/mSystems.00321-18","Wang","2019","Alterations in Gut Glutamate Metabolism Associated with Changes in Gut Microbiota Composition in Children with Autism Spectrum Disorder","ASD_vs_control","shotgun","stool","43","31","74","child","unknown","unknown","China","bioproject","Shenzhen; discovery cohort 43 ASD + 31 TD; validation cohort 49 ASD + 11 TD; total study 92+42=134"
"DS0079","PRJNA327785","","","","","28938872","10.1186/s12866-017-1096-1","Liu","2017","Effect of vitamin A supplementation on gut microbiota in children with autism spectrum disorders - a pilot study","ASD_vs_control","16S","stool","64","0","64","child","unknown","unknown","China","bioproject","Chongqing; vitamin A intervention; single-arm no neurotypical controls; ages 1-8; subset of 20 analyzed for microbiota"
"DS0080","PRJEB11419","ERP012803","","","10317","29795809","10.1128/mSystems.00031-18","McDonald","2018","American Gut: an Open Platform for Citizen Science Microbiome Research","ASD_vs_control","16S","stool","unknown","unknown","unknown","mixed","unknown","unknown","USA","bioproject","Citizen science project; ASD subset size unknown; Qiita ID 10317; >10000 total participants; international"
"DS0081","PRJNA282013","","","","","26427004","10.1371/journal.pone.0137725","Son","2015","Comparison of Fecal Microbiota in Children with Autism Spectrum Disorders and Neurotypical Siblings in the Simons Simplex Collection","ASD_vs_control","16S","stool","59","44","103","child","unknown","unknown","USA","bioproject","Simons Simplex Collection; sibling controls; Stony Brook NY"
"DS0082","PRJNA168470","","","","","23844187","10.1371/journal.pone.0068322","Kang","2013","Reduced incidence of Prevotella and other fermenters in intestinal microflora of autistic children","ASD_vs_control","16S","stool","20","20","40","child","yes","unknown","USA","bioproject","Arizona State University; pyrosequencing V2/V3; foundational Prevotella-autism study"
"DS0083","PRJNA895487","","","","","37443184","10.1038/s41598-023-38228-0","Tataru","2023","Topic modeling for multi-omic integration in the human gut microbiome and implications for Autism","ASD_vs_control","shotgun","stool","unknown","unknown","81","child","unknown","unknown","USA","bioproject","Oregon State; multi-omic: 16S + shotgun + metatranscriptomics + metabolomics; sibling pairs ages 2-7"
