"screening_id","source_db","query_id","accession","title","url","search_date","decision","exclusion_reason","notes","screened_by","screening_round"
"SCR00012","bioproject","BP_Q1","PRJDB36519","The Mechanistic Study of Exercise Amelioration of Autism through Vagus Nerve-Mediated Gut-Brain Axis Pathway (PRJCA039016)","https://www.ncbi.nlm.nih.gov/bioproject/PRJDB36519","2026-04-02","exclude","non_human","Organism=rat gut metagenome; animal model study","screening_agent","1"
"SCR00013","bioproject","BP_Q1","PRJDB37625","Isolation and genetic analysis of a gut bacterial strain with high GABA production capacity","https://www.ncbi.nlm.nih.gov/bioproject/PRJDB37625","2026-04-02","exclude","non_human","Organism=Enterococcus gallinarum; animal model study","screening_agent","1"
"SCR00014","bioproject","BP_Q1","PRJNA1327885","Autism-Microbiota","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1327885","2026-04-02","include","","","screening_agent","1"
"SCR00015","bioproject","BP_Q1","PRJNA1322369","Human viral metagenome","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322369","2026-04-02","include","","Viral metagenome in feces from ASD and healthy children; virome as part of gut microbiome","screening_agent","1"
"SCR00016","bioproject","BP_Q1","PRJNA1307800","Gut microbiota","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1307800","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00017","bioproject","BP_Q1","PRJNA1307773","Metagenomic data on adolescents with autism spectrum disorder","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1307773","2026-04-02","include","","","screening_agent","1"
"SCR00018","bioproject","BP_Q1","PRJNA1304930","SPIND","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1304930","2026-04-02","exclude","no_control_group","Round 2: FMT clinical trial; 124 ASD samples + donors; no healthy/TD control group","screening_agent","2"
"SCR00019","bioproject","BP_Q1","PRJEB78344","Efficacy and safety of BF839 for pediatric ASD","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB78344","2026-04-02","exclude","not_microbiome_sequencing","No evidence of microbiome sequencing in title or description","screening_agent","1"
"SCR00020","bioproject","BP_Q1","PRJNA1280289","Gut Microbiota Composition and Phylogenetic Analysis in Autism Spectrum Disorder: A Comparative Study","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1280289","2026-04-02","include","","ASD vs control SCFA/microbiota study; comparative design confirmed by title","screening_agent","1"
"SCR00021","bioproject","BP_Q1","PRJNA1277165","Gut Microbiota and Urine Metabolomics Signature in Autism Spectrum Disorder children from Southern China","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1277165","2026-04-02","include","","Cohort of 88 participants; gut microbiota 16S rRNA in ASD from Southern China","screening_agent","1"
"SCR00022","bioproject","BP_Q1","PRJNA1274925","Gut microbiota diversity is altered in a sex-dependent manner in Shank3B heterozygote mice","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1274925","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00023","bioproject","BP_Q1","PRJNA1274164","A novel synbiotic (SCM06) for anxiety and sensory hyperresponsiveness in children with autism spectrum disorder: an open-label pilot study","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1274164","2026-04-02","include","","SCM06 synbiotic open-label pilot in 30 ASD children; pre/post microbiome analysis","screening_agent","1"
"SCR00024","bioproject","BP_Q1","PRJNA1273679","Exploring the Role of Gut Microbiota and Metabolomic Changes on Singing in Zebra Finches","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1273679","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00025","bioproject","BP_Q1","PRJNA1273336","Gut Microbiota Characteristics and the Efficacy of Fecal Microbiota Transplantation in Children with Autism Spectrum Disorder in Central China: A Cross-sectional and Prospective Combined Study","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1273336","2026-04-02","include","","","screening_agent","1"
"SCR00026","bioproject","BP_Q1","PRJNA1268144","16S rRNA sequencing of BTBR mice","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1268144","2026-04-02","exclude","non_human","16S rRNA sequencing of BTBR mice; mouse ASD model","screening_agent","1"
"SCR00027","bioproject","BP_Q1","PRJNA1258689","Exploring the Role of Gut Microbiota and Metabolomic Changes on Singing in Zebra Finches","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1258689","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00028","bioproject","BP_Q1","PRJNA1250271","Genomic Sequencing of Fecal Isolates from Autistic or Healthy Children","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1250271","2026-04-02","exclude","not_microbiome_sequencing","Genomic sequencing of fecal bacterial isolates; not community microbiome profiling","screening_agent","1"
"SCR00029","bioproject","BP_Q1","PRJNA1249993","Gut Microbiota Modulation by FMT Rescues Autism-like Phenotypes and Prefrontal E/I Imbalance in ASD Mice","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1249993","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00030","bioproject","BP_Q1","PRJDB15271","The Gut Microbiota Regulates Autism-like Behavior by Mediating Synaptic Loss and Microbiota-Derived Metabolite in CLC4 KO mice","https://www.ncbi.nlm.nih.gov/bioproject/PRJDB15271","2026-04-02","exclude","non_human","Organism=mouse gut metagenome; animal model study","screening_agent","1"
"SCR00031","bioproject","BP_Q1","PRJNA1222609","Comprehensive analysis of gut microbiota and fecal metabolites in patients with autism spectrum disorder","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1222609","2026-04-02","include","","34 ASD patients and 18 healthy controls; long-read 16S rRNA + metabolomics","screening_agent","1"
"SCR00032","bioproject","BP_Q1","PRJNA1207206","Gut microbiota diversity and composition in children with autism spectrum disorder","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1207206","2026-04-02","include","","","screening_agent","1"
"SCR00033","bioproject","BP_Q1","PRJNA1199347","Gut microbiota in children with autism","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1199347","2026-04-02","include","","Gut microbiota changes in autistic children after WMT treatment","screening_agent","1"
"SCR00034","bioproject","BP_Q1","PRJEB81554","Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB81554","2026-04-02","exclude","not_asd","No explicit ASD/autism phenotype in title or description","screening_agent","1"
"SCR00035","bioproject","BP_Q1","PRJEB81553","Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB81553","2026-04-02","exclude","not_asd","No explicit ASD/autism phenotype in title or description","screening_agent","1"
"SCR00036","bioproject","BP_Q1","PRJNA1163059","ads","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1163059","2026-04-02","exclude","other","Placeholder record (title='ads', description='asd'); insufficient information","screening_agent","1"
"SCR00037","bioproject","BP_Q1","PRJNA1155863","Metataxonomic and immunological analysis of feces from chil-dren with or without Phelan-McDermid syndrome","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1155863","2026-04-02","include","","Phelan-McDermid syndrome (with ASD-like behaviors) fecal microbiota vs healthy controls","screening_agent","1"
"SCR00038","bioproject","BP_Q1","PRJEB79246","High-throughput workflow for cultivation and functional characterization of novel gut microbiota strains with metabolic signatures associated with gut-brain communication","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB79246","2026-04-02","exclude","no_control_group","No mention of control/comparison group in description","screening_agent","1"
"SCR00039","bioproject","BP_Q1","PRJNA1141738","Metagenomics of fecal microbiota in children with ASD","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1141738","2026-04-02","include","","Fecal metagenomics in ASD children; gut microbial dysbiosis associations","screening_agent","1"
"SCR00040","bioproject","BP_Q1","PRJNA1136218","Correction of batch effect in gut microbiota profiling of ASD cohorts from different geographical origin","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1136218","2026-04-02","include","","Batch effect correction for ASD cohort microbiota profiling; reanalysis/methods study","screening_agent","1"
"SCR00041","bioproject","BP_Q1","PRJNA1133783","Alteration of gut microbial ecology by direct activation of the brain: inverse gut-microbiome-brain dynamics","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1133783","2026-04-02","exclude","not_asd","Brain-to-gut microbiome modulation study; no ASD phenotype, general neuroscience","screening_agent","1"
"SCR00042","bioproject","BP_Q1","PRJNA1121380","Colombian Children gut microbiota","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1121380","2026-04-02","include","","","screening_agent","1"
"SCR00043","bioproject","BP_Q1","PRJNA1116522","Changes in tongue-coating microbiota and its predictive role in treatment outcomes following washed microbiota transplantation in children with autism","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1116522","2026-04-02","include","","Tongue-coating and gut microbiota changes pre/post washed microbiota transplantation in ASD children","screening_agent","1"
"SCR00044","bioproject","BP_Q1","PRJNA1112427","Effects of low FODMAP diet and probiotics on behavioral problems and gut microbiota in children with autism spectrum disorder.","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1112427","2026-04-02","include","","Low FODMAP diet and probiotics effects on gut microbiota and behavior in ASD children","screening_agent","1"
"SCR00045","bioproject","BP_Q1","PRJNA1103839","Gut microbiota Autism espectrum disorder and neurotypical children","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1103839","2026-04-02","include","","","screening_agent","1"
"SCR00046","bioproject","BP_Q1","PRJNA1103334","Integrated analysis of metabolome and microbiome in a mouse model of sodium valproate-induced autism","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1103334","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00047","bioproject","BP_Q1","PRJNA1090096","ASD and Microbiota","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1090096","2026-04-02","include","","","screening_agent","1"
"SCR00048","bioproject","BP_Q1","PRJNA1088255","Mapping the Geographical Distribution of the Mucosa-Associated Gut Microbiome in GI-Symptomatic Children with Autism","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1088255","2026-04-02","include","","","screening_agent","1"
"SCR00049","bioproject","BP_Q1","PRJNA1085546","stool sample from ASD children's gut Raw sequence reads","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1085546","2026-04-02","exclude","no_control_group","Round 2: 123 stool samples all ASD children; no control/TD samples in SRA","screening_agent","2"
"SCR00050","bioproject","BP_Q1","PRJNA1083497","Supplier-origin microbiome affect host behavior and growth of an autism mouse model","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1083497","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00051","bioproject","BP_Q1","PRJNA1080644","gut metagenome from mouse feces Raw sequence reads","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1080644","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00052","bioproject","BP_Q1","PRJNA1077343","Homo sapiens Raw sequence reads","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1077343","2026-04-02","include","","","screening_agent","1"
"SCR00053","bioproject","BP_Q1","PRJNA1057995","Analysis of the gut virome in children with autism","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1057995","2026-04-02","include","","","screening_agent","1"
"SCR00054","bioproject","BP_Q1","PRJNA1056406","microbiota profile of 16p11.2 microduplication (dp) mouse","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1056406","2026-04-02","exclude","non_human","16p11.2 microduplication mouse model; mouse study","screening_agent","1"
"SCR00055","bioproject","BP_Q1","PRJNA1047541","Gut microbiota of children with ASD","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1047541","2026-04-02","include","","FMT in children with ASD; microbiota transplantation study","screening_agent","1"
"SCR00056","bioproject","BP_Q1","PRJEB60702","L. reuteri RCT for children with ASD","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB60702","2026-04-02","exclude","no_control_group","No mention of control/comparison group in description","screening_agent","1"
"SCR00057","bioproject","BP_Q1","PRJNA1046699","Homo sapiens Raw sequence reads","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1046699","2026-04-02","include","","","screening_agent","1"
"SCR00058","bioproject","BP_Q1","PRJNA1046003","Microbiome AI decision-making: Autism Spectrum Disorder in children from Bosnia and Herzegovina","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1046003","2026-04-02","include","","","screening_agent","1"
"SCR00059","bioproject","BP_Q1","PRJNA1038701","Gut-brain axis: role of the gut microbiota in the effects induced by cocaine","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1038701","2026-04-02","exclude","not_asd","Cocaine/gut-brain axis study in rats; autism mentioned tangentially","screening_agent","1"
"SCR00060","bioproject","BP_Q1","PRJNA1022818","ASD soil metagenome","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1022818","2026-04-02","exclude","not_asd","Organism=soil metagenome; not an ASD/autism study","screening_agent","1"
"SCR00061","bioproject","BP_Q1","PRJNA1022510","Bacteroides is increased in an autism cohort and induces autismrelevant behavioral changes in mice in a sex-dependent manner","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1022510","2026-04-02","include","","","screening_agent","1"
"SCR00062","bioproject","BP_Q1","PRJNA1018910","Therapeutic efficacy of Sulforaphane in autism spectrum disorders and its association with gut microbiota: animal model and human longitudinal studies","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1018910","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00063","bioproject","BP_Q1","PRJNA1018541","Therapeutic efficacy of Sulforaphane in autism spectrum disorders and its association with gut microbiota: animal model and human longitudinal studies","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1018541","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00064","bioproject","BP_Q1","PRJNA1010504","human gut Raw sequence reads","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1010504","2026-04-02","exclude","no_public_data_link","Round 2: BioProject has 0 SRA experiments; no public data linked","screening_agent","2"
"SCR00065","bioproject","BP_Q1","PRJEB59338","Tool for screening the risk of dysbiosis and characterizing the healthy and diseased intestinal microbiota","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB59338","2026-04-02","exclude","not_asd","No explicit ASD/autism phenotype in title or description","screening_agent","1"
"SCR00066","bioproject","BP_Q1","PRJNA994009","Enhanced methane yield in anaerobic digestion of food waste by mixing Baijiu pit mud and anaerobic digester sludge as inoculum: Methane production enhancement and microbial mechanism","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA994009","2026-04-02","exclude","not_asd","Food waste anaerobic digestion study, not autism-related","screening_agent","1"
"SCR00067","bioproject","BP_Q1","PRJNA988151","Introduction: Nutrition and gut microbiota play a fundamental role in human health and various conditions such as Autism Spectrum Disorder (ASD). Children with ASD may have a restrictive diet due to increased sensory sensitivity or adherence to a glu","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA988151","2026-04-02","include","","35 ASD and 30 TD children; cross-sectional gut microbiota + nutrition study","screening_agent","1"
"SCR00068","bioproject","BP_Q1","PRJEB62437","Autism cohort","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB62437","2026-04-02","include","","","screening_agent","1"
"SCR00069","bioproject","BP_Q1","PRJNA972634","Human feces Raw sequence reads","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA972634","2026-04-02","include","","Gut-DNA virome in children with ASD; case-control design implied","screening_agent","1"
"SCR00070","bioproject","BP_Q1","PRJEB48828","16S Analysis of Poly I:C treated mouse to induce ASD","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB48828","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00071","bioproject","BP_Q1","PRJNA966790","ASD mouse stool sample Raw sequence reads","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA966790","2026-04-02","exclude","non_human","ASD mouse stool sample; organism='feces metagenome' but description confirms mouse model","screening_agent","1"
"SCR00072","bioproject","BP_Q1","PRJNA953169","Gur microbiota and metabolomics in child with autism spectrum disorder","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA953169","2026-04-02","include","","","screening_agent","1"
"SCR00073","bioproject","BP_Q1","PRJNA952791","Microbiota of ASD and neurotypical human and humanized-mouse fecal samples.","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA952791","2026-04-02","include","","","screening_agent","1"
"SCR00074","bioproject","BP_Q1","PRJNA943687","Faecal metagenome of children with autism spectrum disorder and children that are neurotypical","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA943687","2026-04-02","include","","","screening_agent","1"
"SCR00075","bioproject","BP_Q1","PRJNA941891","16S amplicon data for pediatric ASD patients receiving probiotic intervention with VISBIOME","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA941891","2026-04-02","include","","16S amplicon sequencing of ASD pediatric patients receiving VISBIOME probiotic intervention","screening_agent","1"
"SCR00076","bioproject","BP_Q1","PRJNA940472","human stool sample Metagenome","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA940472","2026-04-02","include","","","screening_agent","1"
"SCR00077","bioproject","BP_Q1","PRJNA938142","Acetate supplementation rescues social deficits and alters transcriptional regulation in prefrontal cortex of  Shank3  deficient mice","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA938142","2026-04-02","exclude","non_human","Organism=Mus musculus; animal model study","screening_agent","1"
"SCR00078","bioproject","BP_Q1","PRJNA932561","autistic children Raw sequence reads","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA932561","2026-04-02","include","","16S sequencing of children with autism and normal controls; Homo sapiens","screening_agent","1"
"SCR00079","bioproject","BP_Q1","PRJNA928241","Gut microbiome of autism spectrum disorder's patients in Thailand","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA928241","2026-04-02","include","","Gut microbiome of Thai ASD patients; human gut metagenome","screening_agent","1"
"SCR00080","bioproject","BP_Q1","PRJDB15047","Soil microbial community analysis before and after ethanol-based anaerobic soil disinfestation","https://www.ncbi.nlm.nih.gov/bioproject/PRJDB15047","2026-04-02","exclude","not_asd","Anaerobic soil disinfestation study, not autism","screening_agent","1"
"SCR00081","bioproject","BP_Q1","PRJEB58864","The microbiome of patients with social anxiety disorder is altered in comparison to healthy controls","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB58864","2026-04-02","exclude","not_asd","Social anxiety disorder microbiome study; autism/ASD mentioned only tangentially alongside other psychiatric conditions","screening_agent","1"
"SCR00082","bioproject","BP_Q1","PRJNA917543","Analysis of gut microbiota profiles and their associations in children with autism spectrum disorders in Bangladesh","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA917543","2026-04-02","include","","Round 2: Confirmed ASD vs control in Bangladesh; 39 samples; 16S rRNA; gut","screening_agent","2"
"SCR00083","bioproject","BP_Q1","PRJNA915328","Human Gut Microbiota from Autism Change the behavior of honeybees","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA915328","2026-04-02","exclude","non_human","Human ASD microbiota transplanted into honeybees (Apis mellifera); non-human host","screening_agent","1"
"SCR00084","bioproject","BP_Q1","PRJNA910918","ASD patients gut metagenome 1st set of sample Metagenome","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA910918","2026-04-02","include","","","screening_agent","1"
"SCR00085","bioproject","BP_Q1","PRJEB57564","Environmental and genetic factors in autism spectrum disorders","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB57564","2026-04-02","exclude","not_microbiome_sequencing","No evidence of microbiome sequencing in title or description","screening_agent","1"
"SCR00086","bioproject","BP_Q1","PRJNA860734","mouse gut metagenome  Metagenome","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA860734","2026-04-02","exclude","non_human","VPA-induced ASD mouse model with L. plantarum ST-III; mouse study","screening_agent","1"
"SCR00087","bioproject","BP_Q1","PRJNA857187","Microbiota-Indole 3-Propionic Acid-Brain Axis Mediates Abnormal Synaptic Pruning of Hippocampal Microglia and Susceptibility to ASD in IUGR Offsprings","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA857187","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00088","bioproject","BP_Q1","PRJNA854167","Impact of OMEGA-3 nutrition on stool microbiome of autistic mice","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA854167","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00089","bioproject","BP_Q1","PRJNA845014","gut microbiota in autism Raw sequence reads","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA845014","2026-04-02","include","","Gut microbiota comparison: autistic children with/without atopic dermatitis; has within-ASD comparison","screening_agent","1"
"SCR00090","bioproject","BP_Q1","PRJDB10011","Gut microbiota of 14 mice","https://www.ncbi.nlm.nih.gov/bioproject/PRJDB10011","2026-04-02","exclude","non_human","Organism=mouse gut metagenome; animal model study","screening_agent","1"
"SCR00091","bioproject","BP_Q1","PRJNA843912","Impact of gastrointestinal symptoms on autism spectrum disorde","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA843912","2026-04-02","include","","GI symptoms and gut microbiota/SCFA associations in ASD","screening_agent","1"
"SCR00092","bioproject","BP_Q1","PRJNA837206","Melatonin and autism","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA837206","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00093","bioproject","BP_Q1","PRJNA823373","16S rRNA sequencing of mice fecal samples following probiotic treatment","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA823373","2026-04-02","exclude","non_human","Psychobiotic assessment in ASD mouse model; mouse study","screening_agent","1"
"SCR00094","bioproject","BP_Q1","PRJNA815491","A preliminary investigation on the relationship between gut microbiota and gene expressions in peripheral mononuclear cells of infants with autism spectrum disorders","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA815491","2026-04-02","include","","","screening_agent","1"
"SCR00095","bioproject","BP_Q1","PRJNA814201","Analysis of small ncRNAs in stool samples from ASD patients","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA814201","2026-04-02","include","","Fecal microbiome/mycobiome/sncRNAs: children with autism vs neurotypical development; Homo sapiens","screening_agent","1"
"SCR00096","bioproject","BP_Q1","PRJNA813424","microbiome, mycobiome and sncRNAs of children with autism spectrum disorders","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA813424","2026-04-02","exclude","duplicate_dataset","Related/derived from PRJNA814201, already screened (screening_id=SCR00095)","screening_agent","1"
"SCR00097","bioproject","BP_Q1","PRJNA801712","The role of probiotics in children with autism spectrum disorders","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA801712","2026-04-02","include","","Randomized controlled trial of probiotics in 160 ASD children; RCT design","screening_agent","1"
"SCR00098","bioproject","BP_Q1","PRJNA786259","Homo sapiens Raw sequence reads","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA786259","2026-04-02","include","","Microbial change + FMT effect in autism patients; Homo sapiens","screening_agent","1"
"SCR00099","bioproject","BP_Q1","PRJNA782533","Metagenomic study of the gut microbiome associated with autism spectrum disorders and their potential change after Microbiota Transfer Therapy","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA782533","2026-04-02","include","","Round 2: Confirmed TD controls via Nirmalkar 2022 (PMID 36362265); shotgun; gut","screening_agent","2"
"SCR00100","bioproject","BP_Q1","PRJNA769228","Gut microbial profile is associated with the severity of social impairment and IQ performance in children with autism spectrum disorders","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA769228","2026-04-02","include","","Gut microbial profile associated with social impairment severity and IQ in ASD children","screening_agent","1"
"SCR00101","bioproject","BP_Q1","PRJEB44042","Kefir ameliorates specific microbiota-gut-brain axis impairments in a mouse model relevant to autism spectrum disorder","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB44042","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00102","bioproject","BP_Q1","PRJEB45948","the fecal microflora of Korean children with ASD","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB45948","2026-04-02","include","","","screening_agent","1"
"SCR00103","bioproject","BP_Q1","PRJNA758217","the effect and mechanism of fecal bacteria transplantation on Autistic Spectrum Disorder","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA758217","2026-04-02","include","","FMT clinical trial for ASD with 16S rRNA sequencing; pre/post + controls","screening_agent","1"
"SCR00104","bioproject","BP_Q1","PRJNA754695","Gut microbiota profile in Autism Spectrum Disorders patients","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754695","2026-04-02","include","","Bacterial 16S rRNA metagenomic analysis of fecal samples in ASD children","screening_agent","1"
"SCR00105","bioproject","BP_Q1","PRJNA747052","Microbial community sequencing and host transcripts sequencing in the Shank3 mouse model of autism spectrum disorder","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA747052","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
