dataset_id,source_db,accession,dataset_title,url,linked_publications,publication_title,doi,pmid,paper_verified,country,study_design,n_total,n_asd,n_control,n_other,body_site,assay_type,sequencing_platform,intervention_flag,longitudinal_flag,raw_data_public,release_class,notes
SCR00044,BioProject,PRJNA1046003,Microbiome AI decision-making: Autism Spectrum Disorder in children from Bosnia and Herzegovina,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1046003,Basic-Cicak et al. 2024,Utilizing Artificial Intelligence for Microbiome Decision-Making: Autism Spectrum Disorder in Children from Bosnia and Herzegovina,10.3390/diagnostics14222536,39594202,yes,Bosnia and Herzegovina,case_control,60,44,16,,stool,16S,Illumina MiSeq,no,no,yes,standard,"Primary cohort includes 44 ASD and 16 neurotypical children from Bosnia and Herzegovina; the linked paper also used an external Italian validation dataset, but n_asd/n_control here are restricted to the PRJNA1046003 cohort only."
SCR00045,BioProject,PRJNA1046699,Homo sapiens Raw sequence reads,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1046699,Wang et al. 2025,Gut microbial GABA imbalance emerges as a metabolic signature in mild autism spectrum disorder linked to overrepresented Escherichia,10.1016/j.xcrm.2024.101919,39809266,yes,China,case_control,105,50,55,,stool,16S,Illumina HiSeq 2500,no,no,yes,standard,"PRJNA1046699 corresponds to the 16S screening-cohort subset described on the BioProject page as 50 ASD versus 55 TD fecal samples from Shanxi, China. Sample-level SRA XML confirms A-alias samples are ASD and B-alias samples are TD, while SRA library_strategy is tagged as WGS despite experiment titles and BioProject abstract explicitly describing 16S rRNA sequencing."
SCR00046,BioProject,PRJNA1047541,Gut microbiota of children with ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1047541,Li et al. 2024,Effects and microbiota changes following oral lyophilized fecal microbiota transplantation in children with autism spectrum disorder,10.3389/fped.2024.1369823,38783921,yes,China,intervention,68,38,30,,stool,16S,Illumina MiSeq,yes,yes,yes,standard,"The primary article enrolled 38 ASD participants and 30 healthy controls in Shanghai, with repeated ASD stool sampling at weeks 0, 12, and 20 after oral lyophilized FMT. The article also generated fungal ITS data, but the public accession metadata currently expose a 16S amplicon subset with aliases A1_16s-A10_16s on Illumina MiSeq, so assay_type is normalized here to 16S."
SCR00048,BioProject,PRJNA1057995,Analysis of the gut virome in children with autism,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1057995,Qu et al. 2023,Children with autism show differences in the gut DNA virome compared to non-autistic children: a case control study,10.1186/s12887-023-03981-8,37060094,yes,China,case_control,23,11,12,,stool,metagenome,Illumina NovaSeq 6000,no,no,yes,standard,"The study recruited 13 two-child Han Chinese families and collected 26 stool specimens, but 3 samples failed DNA-band QC; the final analyzed virome cohort comprised 11 ASD children and 12 healthy sibling controls. Controls are siblings rather than unrelated neurotypical children."
SCR00050,BioProject,PRJNA1077343,Homo sapiens Raw sequence reads,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1077343,,,,,no,Saudi Arabia,case_control,23,12,11,,stool,16S,Illumina MiSeq,no,no,yes,standard,"No PubMed link or linked publication is present on the public BioProject PRJNA1077343 page or in bioproject-to-pubmed linkage, so publication fields were intentionally left blank. This row is therefore treated as a repository-only case-control dataset rather than a paper-verified publication row. Direct BioProject and SRA metadata support a coherent accession-level profile: 12 ASD and 11 control stool samples (n_total = 23), 16S rRNA gene sequencing, paired-end layout, and Illumina MiSeq platform. A candidate Saudi Arabia paper identified during QC (PMID 39328398; PMCID PMC11425773; doi 10.3892/etm.2024.12719) was not adopted because it reports only 4 ASD and 4 healthy sibling controls analyzed by whole-genome shotgun metagenomics and does not directly cite PRJNA1077343 in the verified source pages. The row was therefore retained on repository evidence alone, without forcing an unsupported publication link."
SCR00054,BioProject,PRJNA1088255,Mapping the Geographical Distribution of the Mucosa-Associated Gut Microbiome in GI-Symptomatic Children with Autism,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1088255,Reeves et al. 2024,Mapping the geographical distribution of the mucosa-associated gut microbiome in GI-symptomatic children with autism spectrum disorder,10.1152/ajpgi.00101.2024,38887795,yes,United States,case_control,18,9,9,,gut,16S,NextSeq 1000,no,no,yes,standard,"BioProject and article describe mucosa-associated GI biopsies from antrum, duodenum, ileum, ascending colon, and rectum. Participant counts are derived from repository metadata: 18 unique subject IDs with 5 sites each, including 9 TX subjects annotated with host_disease autistic disorder and 9 EVV subjects without autistic-disease annotation, consistent with article wording that ASD children were compared with age-matched typically developing children."
SCR00055,BioProject,PRJNA1090096,ASD and Microbiota,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1090096,Gerges et al. 2024,Turicibacter and Catenibacterium as potential biomarkers in autism spectrum disorders,10.1038/s41598-024-73700-5,39369020,yes,Lebanon,case_control,69,23,23,23,stool,16S,Illumina MiSeq,no,no,yes,standard,"The article includes 3 human groups: 23 ASD subjects, 23 unaffected siblings, and 23 unrelated healthy controls. n_control is assigned to the unrelated control arm and n_other to the sibling arm. Repository metadata and article both indicate stool 16S sequencing, although SRA library_strategy is mislabeled as RNA-Seq."
SCR00059,BioProject,PRJNA1103839,Gut microbiota Autism espectrum disorder and neurotypical children,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1103839,De Sales-Millán et al. 2024,Comprehensive Analysis of Gut Microbiota Composition and Functional Metabolism in Children with Autism Spectrum Disorder and Neurotypical Children: Implications for Sex-Based Differences and Metabolic Dysregulation,10.3390/ijms25126701,38928411,yes,Mexico,case_control,61,30,31,,stool,16S,Illumina MiSeq,no,no,yes,standard,"Article and repository are concordant on cohort size and stool 16S design. PRJNA1103839 contains 30 TEA/ASD samples and 31 Control/NT samples from Mexico City. BioProject-to-PubMed elink is empty, but the article data-availability section explicitly cites PRJNA1103839."
SCR00062,BioProject,PRJNA1121380,Colombian Children gut microbiota,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1121380,Bauer Estrada et al. 2025,Synbiotics of encapsulated Limosilactobacillus fermentum K73 promotes in vitro favorable gut microbiota shifts and enhances short-chain fatty acid production in fecal samples of children with autism spectrum disorder,10.1016/j.foodres.2025.116227,40253179,yes,Colombia,case_control,24,6,18,,stool,16S,Illumina NovaSeq 6000,no,no,yes,standard,"Accession-level sample inventory contains 6 ASD samples (A01-A06) and 18 neurotypical controls (TD01-TD18) from Bogota, Colombia. BioProject explicitly describes an ASD-versus-neurotypical comparison. A linked preprint using PRJNA1121380 reports 7 ASD and 18 NT donors, and the Food Research International article describes a broader donor pool with selected subsets for in vitro fermentation; therefore participant counts here are taken from the public accession rather than from the downstream articles."
SCR00066,BioProject,PRJNA1141738,Metagenomics of fecal microbiota in children with ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1141738,Shao et al. 2024,Gut microbial 'TNFα-sphingolipids-steroid hormones' axis in children with autism spectrum disorder: an insight from meta-omics analysis,10.1186/s12967-024-05973-3,39741321,yes,China,case_control,52,26,26,,stool,metagenome,Illumina HiSeq 4000,no,no,yes,standard,"Article and repository are concordant on cohort size and stool metagenome design. J Transl Med reports 26 ASD and 26 age- and sex-matched neurotypical controls recruited from Lishui Second People's Hospital, Zhejiang, China. SRA study SRP523008 / PRJNA1141738 contains A.1-A.26 and B.1-B.26 with LibrarySource=METAGENOMIC on Illumina HiSeq 4000."
SCR00071,BioProject,PRJNA1207206,Gut microbiota diversity and composition in children with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1207206,Zeng et al. 2025,Gut microbiota diversity and composition in children with autism spectrum disorder: associations with symptom severity,10.7717/peerj.19528,40492208,yes,China,case_control,46,30,16,,stool,16S,Illumina MiSeq,no,no,yes,standard,"Article and accession both describe a stool cohort from Putian, China. PRJNA1207206 / SRP555640 includes 92 runs for 46 participants because each subject has both 16S and ITS amplicon data; unique RunInfo subject IDs resolve to 16 H_* neurotypical controls and 30 C_* ASD children. Sample titles show healthy vs ASD severity labels, so n_asd/n_control are participant counts, not run counts."
SCR00072,BioProject,PRJNA1222609,Comprehensive analysis of gut microbiota and fecal metabolites in patients with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1222609,Zheng et al. 2025,Comprehensive analysis of gut microbiota and fecal metabolites in patients with autism spectrum disorder,10.3389/fmicb.2025.1557174,40351314,yes,China,case_control,52,34,18,,stool,16S,PacBio Sequel,no,no,yes,standard,"Primary article reports 34 ASD and 18 healthy controls recruited at the Fifth Affiliated Hospital of Zhengzhou University, Zhengzhou, China, with fresh fecal samples and long-read 16S plus fecal metabolomics. A 2026 Frontiers correction (doi 10.3389/fmicb.2026.1812620; PMID 42022126; PMCID PMC13096826) explicitly states that Nanopore MinION was mistakenly reported in the original paper and corrects the sequencing platform to PacBio Sequel II. Public SRA accession PRJNA1222609 exposes 52 amplicon runs with PACBIO_SMRT/Sequel labels, single-end layout, and .ccs files, which is consistent with the corrected article at the platform-family level. sequencing_platform was therefore retained as the repository-normalized PacBio Sequel value and library_layout was kept as single from SRA metadata."
SCR00077,BioProject,PRJNA1273336,Gut Microbiota Characteristics and the Efficacy of Fecal Microbiota Transplantation in Children with Autism Spectrum Disorder in Central China: A Cross-sectional and Prospective Combined Study,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1273336,Wu et al. 2025,Gut microbiota characteristics and therapeutic effects of fecal microbiota transplantation in children with autism spectrum disorder in central China: a combined cross-sectional and prospective study,10.3389/fped.2025.1648471,40963960,yes,China,intervention,99,48,51,,stool,16S,Illumina MiSeq,yes,yes,yes,standard,"The linked article combines a baseline cross-sectional ASD vs HC comparison with a prospective FMT arm. Participant counts were recorded from the baseline cohort in the article and study abstract: 48 ASD and 51 healthy controls, with 25 ASD participants entering FMT. Accession PRJNA1273336 contains 123 amplicon samples because it includes baseline HC and repeated ASD fecal samples (pre-FMT and 3-month post-FMT) under the same study."
SCR00081,BioProject,PRJNA1277165,Gut Microbiota and Urine Metabolomics Signature in Autism Spectrum Disorder children from Southern China,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1277165,Huang et al. 2025,Gut microbiota and urine metabolomics signature in autism spectrum disorder children from Southern China,10.1186/s12887-025-05922-z,40797237,yes,China,case_control,88,58,30,,stool,16S,Illumina NovaSeq 6000,no,no,yes,standard,"Primary article and repository are concordant on cohort size: 58 ASD children and 30 healthy controls from Guangxi/Nanning, China. The article states fecal and urine samples were collected; only the gut microbiota 16S arm is represented in this extraction row. Repository sample aliases ASD01-ASD58 and CON01-CON30 match the article counts exactly."
SCR00082,BioProject,PRJNA1280289,Gut Microbiota Composition and Phylogenetic Analysis in Autism Spectrum Disorder: A Comparative Study,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1280289,Xiang et al. 2025,Gut microbiota composition and phylogenetic analysis in autism spectrum disorder: a comparative study,10.3389/fpsyt.2025.1609638,40666436,yes,China,case_control,71,38,33,,stool,16S,Illumina MiSeq,no,no,yes,standard,"Primary article and PubMed abstract consistently report 38 ASD children and 33 age-matched Control fecal samples analyzed by 16S rRNA sequencing on Illumina MiSeq (V3-V4 region). Public SRA accession PRJNA1280289 contains 76 paired-end amplicon libraries labeled A1-A78 (missing A10 and A34) without explicit ASD/control annotation; however, the article methods state that negative control, mock-community runs, and technical replicates were also sequenced, which plausibly explains extra non-participant libraries. Participant counts were therefore retained from the linked primary article, while library_layout and platform were recorded from repository metadata."
SCR00086,BioProject,PRJNA1307773,Metagenomic data on adolescents with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1307773,,,,,no,China,case_control,40,21,19,,gut,metagenome,,no,no,no,standard,"Public BioProject metadata explicitly states 21 adolescents with ASD and 19 age- and gender-matched healthy controls and describes the study as metagenomic data intended to decipher gut microbial dysbiosis and dysfunctions in adolescents with ASD. BioProject XML and Entrez summary confirm a metagenome / whole-capture project, while current NCBI linkouts expose no linked publication, no PubMed record, no BioSample list, no public SRA runs, and no retrievable run-level metadata. country was recorded as China by inference from the submitter institution (Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, China), not from sample-level geographic metadata. sequencing_platform and library_layout remain blank because no public sequence-level record is exposed. This row is therefore treated as a reviewed metadata-only human ASD/control repository record, not a paper-verified sequencing row."
SCR00088,BioProject,PRJNA1322369,Human viral metagenome,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322369,Yuan et al. 2025,Comparison of gut viral communities between autism spectrum disorder and healthy children,10.3389/fcimb.2025.1660970,41163852,yes,China,case_control,22,11,11,,stool,metagenome,Illumina MiSeq,no,no,yes,standard,"Primary article and accession both describe a fecal virome case-control cohort from Zhenjiang, Jiangsu, China with 11 ASD and 11 healthy children. Run/sample metadata map Humanfe* libraries to ASD children and Fe* libraries to healthy children. The article text reports next-generation sequencing on the Illumina NovaSeq platform, but the deposited SRA runs are labeled Illumina MiSeq; sequencing_platform was recorded from repository metadata and the discrepancy should be retained."
SCR00089,BioProject,PRJNA1327885,Autism-Microbiota,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1327885,Penalba et al. 2026,Gut microbiota and its association with gastrointestinal symptoms and pharmacological treatments in a sibling-matched cohort with autism spectrum disorder,10.3389/frmbi.2026.1777385,41952964,yes,Uruguay,cross_sectional,58,29,29,,stool,16S,Oxford Nanopore GridION,no,no,yes,standard,"Primary article describes a sibling-matched cross-sectional fecal microbiome study in Uruguay with 29 children with ASD and 29 neurotypical siblings living in the same household. The article reports full-length 16S rRNA V1-V9 sequencing with R10.4.1 Oxford Nanopore chemistry, and Methods specify sequencing on a Gridion platform. Public run metadata confirm AMPLICON libraries on OXFORD_NANOPORE / GridION, but mislabel ScientificName as soil metagenome. The public accession currently exposes 54 runs/sample records and includes a Controlneg sample, whereas the article-level cohort is 58 participants and Methods mention 60 extracted samples; participant counts were therefore taken from the primary article."
SCR00092,BioProject,PRJNA1377943,Dissecting the gut microbiome in multiplex autism spectrum disorder families,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1377943,Lu et al. 2026,Gut microbiome composition and strain-sharing in multiplex autism spectrum disorder families,10.1038/s41467-026-70142-7,41748585,yes,Hong Kong,cross_sectional,429,242,133,54,stool,metagenome,Illumina NovaSeq 6000,no,no,yes,standard,"Primary article reports a cross-sectional human fecal metagenome cohort of 429 children: 75 ASD from multiplex families, 50 ASD from simplex families, 117 only-child ASD, 54 healthy siblings, and 133 typically developing controls. BioProject PRJNA1377943 and the linked PDF independently state that shotgun metagenomic sequencing was performed on all 429 stool samples. Public NCBI repository exposure currently shows 423 BioSample records and 380 SRA experiments/runs, while the article explicitly notes that participant metadata cannot be fully released publicly because of consent/privacy restrictions. Therefore, n_asd, n_control, n_other, and n_total were retained from the primary article, whereas country, body site, assay type, sequencing platform, and library_layout were confirmed from repository metadata. This row is treated as a reviewed paper-anchored cohort record rather than a repository-count-derived accession summary."
SCR00093,BioProject,PRJNA1393140,Gut microbiota and its association with gastrointestinal symptoms and pharmacological treatments in a sibling-matched cohort with autism spectrum disorder in Uruguay,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1393140,Penalba et al. 2026,Gut microbiota and its association with gastrointestinal symptoms and pharmacological treatments in a sibling-matched cohort with autism spectrum disorder,10.3389/frmbi.2026.1777385,41952964,yes,Uruguay,cross_sectional,58,29,29,,stool,16S,Oxford Nanopore GridION,no,no,yes,standard,"BioProject title and description exactly match the published Uruguay sibling-matched cohort with 29 children with ASD and 29 neurotypical siblings living in the same household. This accession is a later public release of the same study and currently exposes 58 human gut metagenome runs on OXFORD_NANOPORE / GridION, aligning with the article's full-length 16S rRNA V1-V9 stool design. PubMed links are not embedded on the BioProject page, so the linked publication was assigned by exact title match and identical cohort description across the BioProject and primary article."
SCR00100,BioProject,PRJNA168470,Human Intestinal Microbial Ecology and its Relationship to Autism,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA168470,Kang et al. 2013,Reduced incidence of Prevotella and other fermenters in intestinal microflora of autistic children,10.1371/journal.pone.0068322,23844187,yes,United States,case_control,39,19,20,,stool,16S,454 GS FLX Titanium,no,no,yes,standard,"Primary article recruited 20 neurotypical and 20 autistic children in a United States study run through Arizona State University and sequenced fecal DNA using 16S rRNA V2-V3 pyrosequencing. The paper states that one autistic outlier with very low sequence count and diversity was removed before downstream microbiome analyses; figures and heatmaps therefore reflect 39 analyzed subjects (A01-A19 and N01-N20), while the public accession still contains 40 runs including A-excl. n_asd and n_control were recorded from the analyzed dataset. Repository metadata confirm a stool amplicon dataset on 454 GS FLX Titanium, although one control run (N11) is anomalously labeled METATRANSCRIPTOMIC in LibrarySource."
SCR00103,BioProject,PRJNA282013,Autism Gut targeted loci,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA282013,Son et al. 2015,Comparison of Fecal Microbiota in Children with Autism Spectrum Disorders and Neurotypical Siblings in the Simons Simplex Collection,10.1371/journal.pone.0137725,26427004,yes,United States,case_control,103,59,44,,stool,16S,Illumina MiSeq,no,no,yes,standard,"BioProject metadata directly link to the primary PLOS ONE article comparing fecal microbiota in children with ASD and their neurotypical siblings from the Simons Simplex Collection in the United States. The article reports 59 ASD children and 44 neurotypical siblings, and repository sample aliases encode affected and unaffected sibling status within simplex families. Stool-based 16S rRNA sequencing of the V1-V2 and V1-V3 regions was performed on Illumina MiSeq. The public accession currently exposes 103 sample/run records, which matches the participant-level total reported in the article."
SCR00106,BioProject,PRJNA355023,Gut microbial dysbiosis in Indian children with Autistic spectrum disorders,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA355023,Pulikkan et al. 2018,Gut Microbial Dysbiosis in Indian Children with Autism Spectrum Disorders,10.1007/s00248-018-1176-2,29564487,yes,India,case_control,54,30,24,,stool,16S,NextSeq 500,no,no,yes,standard,"Primary article compares fecal microbiota in 30 Indian children with ASD and 24 family-matched healthy children. BioProject metadata describe the same Indian ASD gut dysbiosis cohort, and public run metadata confirm paired-end amplicon sequencing on Illumina NextSeq 500. The article identifies the assay as 16S rRNA gene amplicon sequencing, and the current accession exposes 54 runs, consistent with the 30 ASD plus 24 control participants reported in the paper."
SCR00109,BioProject,PRJNA362687,Oral microbial changes in ASD children,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA362687,Qiao et al. 2018,Alterations of oral microbiota distinguish children with autism spectrum disorders from healthy controls,10.1038/s41598-018-19982-y,29371629,yes,China,case_control,59,32,27,,oral,16S,Illumina MiSeq,no,no,yes,standard,"The primary Scientific Reports article describes an oral microbiome case-control study in Shanghai, China, including 32 children with ASD and 27 age- and gender-matched healthy controls. The study collected two oral habitats per participant, saliva and dental plaque, generating 111 oral samples in total; participant counts rather than sample counts were recorded in n_asd and n_control. Public run metadata confirm paired-end Illumina MiSeq amplicon sequencing of the V3-V4 region, and sample aliases/descriptions distinguish ASD and healthy oral specimens, but repository country fields are missing, so country was taken from the primary article."
SCR00113,BioProject,PRJNA451479,Metagenomic sequencing of gut microbiota associated with autism spectrum disorders patients,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA451479,Dan et al. 2020,Altered gut microbial profile is associated with abnormal metabolism activity of Autism Spectrum Disorder,10.1080/19490976.2020.1747329,32312186,yes,China,case_control,60,30,30,,stool,metagenome,HiSeq X Ten,no,no,yes,standard,"BioProject and GEO series GSE113540 describe a fecal shotgun metagenomic case-control dataset from China with 30 ASD children and 30 healthy controls. The linked primary paper first profiled a larger 16S cohort of 143 children, then selected 30 constipation-associated ASD cases and 30 age-matched typically developing controls for metagenomic sequencing; these 60 fecal samples correspond to PRJNA451479. Public run metadata confirm paired-end Illumina HiSeq X Ten sequencing of feces metagenome samples, although LibraryStrategy is generically labeled OTHER in SRA. A second PubMed-linked paper (PMID 33412999) reuses part of this cohort for host genetic integration, but the accession description and sample count align most directly with Dan et al. 2020."
SCR00114,BioProject,PRJNA453621,Gut microbiota analysis associated with autism spectrum disorders [16S rRNA],https://www.ncbi.nlm.nih.gov/bioproject/PRJNA453621,Dan et al. 2020,Altered gut microbial profile is associated with abnormal metabolism activity of Autism Spectrum Disorder,10.1080/19490976.2020.1747329,32312186,yes,China,case_control,286,143,143,,stool,16S,Illumina HiSeq 2500,no,no,yes,standard,"BioProject PRJNA453621 and GEO GSE113690 correspond to the 16S rRNA branch of the Chinese ASD gut microbiome cohort described in Dan et al. 2020. GEO and BioProject explicitly report 143 ASD patients and 143 healthy controls with fecal samples, and the linked paper confirms these counts in participant characteristics. Public SRA/GEO metadata confirm single-end/single-library 16S amplicon sequencing on Illumina HiSeq 2500, although SRA labels LibraryStrategy generically as OTHER rather than 16S/AMPLICON. This accession is the larger 16S dataset, whereas the same paper also contains a smaller 60-sample shotgun subset deposited separately as PRJNA451479."
SCR00116,BioProject,PRJNA453894,Bacteria Raw sequence reads,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA453894,Li et al. 2019,Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment,10.1016/j.gpb.2019.01.002,31026579,yes,China,case_control,178,59,30,89,stool,16S,Illumina HiSeq 2500,no,no,yes,standard,"Primary article studies stool 16S profiles in four groups from China: ASD children, mothers of ASD children, healthy children, and mothers of healthy children. PubMed and the full article specify 59 mother-child pairs of ASD children and 30 matched mother-child pairs of healthy children, so n_asd and n_control were recorded at the child level and n_other was used for the 89 mothers. The article explicitly states that sequencing data were deposited under PRJNA453894 and were generated on an Illumina HiSeq sequencer. Public repository metadata currently expose only two pooled HiSeq 2500 amplicon runs on a single BioSample representing the four groups, so participant counts were taken from the primary article rather than from run count."
SCR00118,BioProject,PRJNA516054,Whole metagenomic analysis of the enteric microbiota in children with autism spectrum disorder: the search for marker genes compositions,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA516054,,,,,no,Russia,case_control,78,55,23,,stool,metagenome,Illumina HiSeq 2500; Illumina HiSeq 4000; Illumina NovaSeq 6000; Illumina MiSeq,no,no,yes,standard,"BioProject PRJNA516054 has no direct PubMed linkage and appears to aggregate three Moscow, Russia stool/feces series from the same ASD microbiome program. Public ENA sample records expose 78 unique fecal biosamples from Russia: Moscow and support an accession-level split of 55 ASD samples (AC_1-AC_55) and 23 control samples (HC_1-HC_23). Public SRA exposes 98 paired-end runs because 20 DA-series biosamples were sequenced both as whole metagenome on Illumina HiSeq 2500 and as 16S amplicons on Illumina MiSeq, while additional whole-metagenome subsets were generated on Illumina HiSeq 4000 and NovaSeq 6000. BioProject title, grant framing, and intended data type explicitly describe whole metagenomic analysis, so assay_type_normalized was retained as metagenome while sequencing_platform remains multi-platform. No single accession-wide primary article or PubMed link was identified; this row is therefore treated as a reviewed aggregated repository record rather than a paper-verified single-study row."
